"('Detailed', 'documentation', 'user documentation', 'user')","[['documentation', 'Detailed', 'user', 'user documentation']]"
"('xml',)",[['xml']]
"('Tel', 'CA', 'Field', 'White', 'Tower', '408')","[['Tel', 'White', 'CA', 'Tower'], ['Tel', 'White', 'CA', 'Field', '408'], ['Tower', 'CA', 'Field', '408']]"
"('entire', 'Frequency')","[['entire', 'Frequency']]"
"('entire system', 'MHz', 'input port')","[['entire system', 'MHz', 'input port']]"
"('Y Supports Floating Point', 'Y Supports Floating', 'Point addition/subtraction')","[['Y Supports Floating Point', 'Point addition/subtraction', 'Y Supports Floating']]"
"('second',)",[['second']]
"('three',)",[['three']]
"('FLOATING', 'FLOATING POINT', 'POINT')","[['FLOATING', 'POINT', 'FLOATING POINT']]"
"('102', 'Technologies', '2900', '95051', 'US')","[['102', 'Technologies', '95051', '2900'], ['102', 'Technologies', 'US'], ['2900', '95051', 'Technologies', 'US']]"
"('complicated', 'Generally', 'part', 'steps', 'namely')","[['steps', 'complicated', 'part', 'Generally', 'namely']]"
"('Compatible', 'Flexible', 'Optimized', 'families', 'integrable')","[['Compatible', 'families', 'Flexible', 'Optimized'], ['Compatible', 'families', 'integrable'], ['Optimized', 'Flexible', 'families', 'integrable']]"
"('Definition', 'Signal Definition Table', 'Signal Definition', 'Table')","[['Definition', 'Signal Definition', 'Signal Definition Table'], ['Definition', 'Signal Definition', 'Table'], ['Signal Definition Table', 'Signal Definition', 'Table']]"
"('331', 'system')","[['331', 'system']]"
"('Ave', 'Pvt')","[['Ave', 'Pvt']]"
"('Description', 'CLK')","[['Description', 'CLK']]"
"('Implementation', 'Blocks', 'Figure2')","[['Blocks', 'Implementation', 'Figure2']]"
"('larger', 'smaller')","[['larger', 'smaller']]"
"('rapid', 'Format', 'thoroughly', 'DSP Processors', 'dynamic', 'prototyping', 'applications', 'range', 'investigated')","[['rapid', 'Format', 'applications', 'DSP Processors'], ['rapid', 'Format', 'applications', 'dynamic'], ['rapid', 'Format', 'prototyping'], ['rapid', 'Format', 'thoroughly', 'range'], ['rapid', 'Format', 'investigated'], ['DSP Processors', 'applications', 'dynamic'], ['DSP Processors', 'applications', 'Format', 'prototyping'], ['DSP Processors', 'applications', 'Format', 'thoroughly', 'range'], ['DSP Processors', 'applications', 'Format', 'investigated'], ['dynamic', 'applications', 'Format', 'prototyping'], ['dynamic', 'applications', 'Format', 'thoroughly', 'range'], ['dynamic', 'applications', 'Format', 'investigated'], ['prototyping', 'Format', 'thoroughly', 'range'], ['prototyping', 'Format', 'investigated'], ['range', 'thoroughly', 'Format', 'investigated']]"
"('first',)",[['first']]
"('bit', 'sign bit,', 'form', 'significant')","[['bit', 'significant', 'sign bit,'], ['bit', 'significant', 'form'], ['sign bit,', 'significant', 'form']]"
"('without',)",[['without']]
"('Direction', 'InA')","[['Direction', 'InA']]"
"('source code', 'RTL source code', 'RTL source', 'Behavioral model', 'source', 'generated', 'code', 'model')","[['RTL source', 'code', 'generated'], ['RTL source', 'code', 'Behavioral model', 'RTL source code', 'source', 'model'], ['generated', 'code', 'Behavioral model', 'RTL source code', 'source', 'model']]"
"('barun',)",[['barun']]
"('perform', 'designers', 'helps')","[['designers', 'perform', 'helps']]"
"('8.15', '5.2', 'Version', 'Ghostscript')","[['8.15', '5.2', 'Version', 'Ghostscript']]"
"('Width', 'Data', 'Data Width', 'InB')","[['Data', 'Width', 'Data Width', 'InB']]"
"('normalization part', 'adder/', 'point adder/', 'addition/subtraction operation', 'adder/ subtracter')","[['normalization part', 'adder/', 'point adder/'], ['normalization part', 'adder/', 'addition/subtraction operation'], ['normalization part', 'adder/', 'adder/ subtracter'], ['point adder/', 'adder/', 'addition/subtraction operation'], ['point adder/', 'adder/', 'adder/ subtracter'], ['addition/subtraction operation', 'adder/', 'adder/ subtracter']]"
"('addition stage', 'normalization stage', 'alignment stage', 'stage')","[['addition stage', 'stage', 'normalization stage'], ['addition stage', 'stage', 'alignment stage'], ['normalization stage', 'stage', 'alignment stage']]"
"('DSP',)",[['DSP']]
"('avoid', 'stages', 'later')","[['stages', 'avoid', 'later']]"
"('used', 'bits')","[['used', 'bits']]"
"('X1', 'fraction')","[['X1', 'fraction']]"
"('subtraction', 'point')","[['subtraction', 'point']]"
"('Available', 'wide', 'clock', 'Fully', 'Synchronous', 'design', 'Supports')","[['Available', 'design', 'wide', 'clock', 'Fully'], ['Available', 'design', 'Supports', 'Synchronous'], ['Fully', 'clock', 'wide', 'design', 'Supports', 'Synchronous']]"
"('positive', 'Deliverables')","[['positive', 'Deliverables']]"
"('X m',)",[['X m']]
"('binary',)",[['binary']]
"('single', 'standard')","[['single', 'standard']]"
"('Introduction',)",[['Introduction']]
"('field', 'comparison', 'easier', 'exponents', 'Verification')","[['field', 'easier', 'Verification', 'comparison'], ['field', 'easier', 'exponents'], ['comparison', 'Verification', 'easier', 'exponents']]"
