"('clk_i signal,',)","[['clk_i signal,']]"
"('non-zero',)",[['non-zero']]
"('busy.31..busy.6',)",[['busy.31..busy.6']]
"('acknowledge signal', 'integer unit')","[['acknowledge signal', 'integer unit']]"
"('mul',)",[['mul']]
"('float', 'float unit state', 'unit state')","[['float unit state', 'float', 'unit state']]"
"('range', 'reduced', 'governing')","[['range', 'governing', 'reduced']]"
"('broadcast', 'permission', 'insight', 'brief', 'subject')","[['broadcast', 'subject', 'permission', 'insight'], ['broadcast', 'subject', 'brief'], ['insight', 'permission', 'subject', 'brief']]"
"('operand b address opb',)",[['operand b address opb']]
"('acknowledgement', 'wishbone')","[['acknowledgement', 'wishbone']]"
"('busy.3',)",[['busy.3']]
"('base_fpu',)",[['base_fpu']]
"('statute', 'imprisonment', 'explorer', 'civil', 'express', 'tasking', 'print', 'translation', 'document', 'situs')","[['statute', 'print', 'express', 'document', 'imprisonment'], ['statute', 'print', 'express', 'explorer'], ['statute', 'print', 'express', 'civil'], ['statute', 'print', 'express', 'document', 'tasking'], ['statute', 'print', 'translation'], ['statute', 'print', 'express', 'document', 'situs'], ['imprisonment', 'document', 'express', 'explorer'], ['imprisonment', 'document', 'express', 'civil'], ['imprisonment', 'document', 'tasking'], ['imprisonment', 'document', 'express', 'print', 'translation'], ['imprisonment', 'document', 'situs'], ['explorer', 'express', 'civil'], ['explorer', 'express', 'document', 'tasking'], ['explorer', 'express', 'print', 'translation'], ['explorer', 'express', 'document', 'situs'], ['civil', 'express', 'document', 'tasking'], ['civil', 'express', 'print', 'translation'], ['civil', 'express', 'document', 'situs'], ['tasking', 'document', 'express', 'print', 'translation'], ['tasking', 'document', 'situs'], ['translation', 'print', 'express', 'document', 'situs']]"
"('accordingly', 'corrected', 'occur')","[['accordingly', 'corrected', 'occur']]"
"('hardware description',)",[['hardware description']]
"('result address ftoi', 'ftoi', 'busy.4', 'result', 'used')","[['result address ftoi', 'ftoi', 'busy.4', 'result', 'used']]"
"('differ', 'regard', 'operands', 'signs')","[['differ', 'operands', 'regard'], ['differ', 'operands', 'signs'], ['regard', 'operands', 'signs']]"
"('contents', 'actually')","[['contents', 'actually']]"
"('subnormal', '2-127', 'less', 'involving', 'provision', 'event', ""underflow'"")","[['2-127', 'involving', 'subnormal', 'less'], ['2-127', 'involving', 'event', 'provision', ""underflow'""], ['less', 'subnormal', 'involving', 'event', 'provision', ""underflow'""]]"
"('integer value', 'float unit')","[['integer value', 'float unit']]"
"('clock cycle',)",[['clock cycle']]
"('subtraction unit',)",[['subtraction unit']]
"('difference',)",[['difference']]
"('ftoi unit',)",[['ftoi unit']]
"('also', 'reserved', 'another', 'means')","[['reserved', 'also', 'another'], ['reserved', 'also', 'means'], ['another', 'also', 'means']]"
"('mentioned', 'detection', 'overflow', '+ b,', 'exponent underflow')","[['mentioned', 'detection', 'overflow', '+ b,'], ['mentioned', 'detection', 'exponent underflow'], ['+ b,', 'overflow', 'detection', 'exponent underflow']]"
"('larger', 'subtract')","[['larger', 'subtract']]"
"('sticky bit',)",[['sticky bit']]
"('11111111', 'significand')","[['11111111', 'significand']]"
"('clk_i signal', 'protocol', 'read', 'follows', 'write cycle:', 'write')","[['clk_i signal', 'write', 'protocol'], ['clk_i signal', 'write', 'follows'], ['clk_i signal', 'write', 'write cycle:'], ['protocol', 'write', 'follows'], ['protocol', 'write', 'write cycle:'], ['follows', 'write', 'write cycle:']]"
"('selected',)",[['selected']]
"('rst_i',)",[['rst_i']]
"('functions',)",[['functions']]
"('implements', 'even', 'initial', '1.1', 'mid-way', 'except', 'release', 'odd')","[['even', 'odd', 'implements', 'initial', '1.1'], ['even', 'odd', 'mid-way'], ['even', 'odd', 'except'], ['even', 'odd', 'implements', 'initial', 'release'], ['1.1', 'initial', 'implements', 'odd', 'mid-way'], ['1.1', 'initial', 'implements', 'odd', 'except'], ['1.1', 'initial', 'release'], ['mid-way', 'odd', 'except'], ['mid-way', 'odd', 'implements', 'initial', 'release'], ['except', 'odd', 'implements', 'initial', 'release']]"
"(""value'"", 'radix point')","[[""value'"", 'radix point']]"
"('volatile',)",[['volatile']]
"('presents', 'based', 'read cycle', 'negates')","[['presents', 'read cycle', 'negates', 'based']]"
"('transfer', 'target register', 'indicate')","[['target register', 'transfer', 'indicate']]"
"('""00""', 'definition', 'entered', 'base address', 'want')","[['""00""', 'base address', 'entered', 'definition'], ['""00""', 'base address', 'entered', 'want'], ['definition', 'entered', 'want']]"
"('connected', 'every')","[['connected', 'every']]"
"('wb_fpu',)",[['wb_fpu']]
"('towards',)",[['towards']]
"('function', 'div', 'similar', 'busy.5')","[['similar', 'function', 'div', 'busy.5']]"
"('load', 'associated')","[['load', 'associated']]"
"('gray', 'summarize', 'background')","[['gray', 'summarize', 'background']]"
"('sqr',)",[['sqr']]
"('ranges', 'expressions', 'back', 'gives')","[['ranges', 'expressions', 'back'], ['ranges', 'expressions', 'gives'], ['back', 'expressions', 'gives']]"
"('case', 'handle', 'taking', 'simplify', 'connection', 'wired', 'simplify connection')","[['connection', 'taking', 'handle', 'wired'], ['connection', 'taking', 'simplify', 'case', 'simplify connection'], ['wired', 'handle', 'taking', 'simplify', 'case', 'simplify connection']]"
"('division operator', 'ready-to-use', 'vhdl', 'approximation', 'operator', 'approximation algorithm')","[['division operator', 'approximation', 'operator', 'approximation algorithm', 'ready-to-use'], ['division operator', 'approximation', 'operator', 'vhdl'], ['ready-to-use', 'approximation algorithm', 'operator', 'vhdl']]"
"('calculation', 'integer', 'calculation units,')","[['calculation', 'integer', 'calculation units,']]"
"('fpu',)",[['fpu']]
"('add',)",[['add']]
"('internal registers',)",[['internal registers']]
"('begin', 'status flag')","[['begin', 'status flag']]"
"('checked',)",[['checked']]
"('four', 'describes')","[['four', 'describes']]"
"('io_dat_o', 'io_we_o', 'io_we_o signal,')","[['io_we_o', 'io_dat_o', 'io_we_o signal,']]"
"('else',)",[['else']]
"('address to:',)",[['address to:']]
"('24', 'remembering')","[['24', 'remembering']]"
"('new',)",[['new']]
"('opa address',)",[['opa address']]
"('lower', 'last', 'rather', 'since', 'possible', 'equal', 'different', 'cases', 'higher')","[['possible', 'lower', 'last', 'higher', 'since', 'rather', 'equal', 'different'], ['possible', 'lower', 'cases'], ['different', 'equal', 'rather', 'since', 'higher', 'last', 'lower', 'cases']]"
"('negating', 'responds', 'signals', 'processor interface signals', 'interface', 'host processor interface', 'naturally')","[['negating', 'naturally', 'responds'], ['negating', 'naturally', 'signals', 'processor interface signals'], ['responds', 'naturally', 'signals', 'processor interface signals']]"
"('involved', 'registers', 'carried', 'wishbone bus interface')","[['involved', 'registers', 'carried'], ['involved', 'registers', 'wishbone bus interface'], ['carried', 'registers', 'wishbone bus interface']]"
"('xor function',)",[['xor function']]
"('result address itof',)",[['result address itof']]
"('constructed',)",[['constructed']]
"('reserves', 'effective', 'lists', '255')","[['effective', '255', 'reserves', 'lists']]"
"('we_i',)",[['we_i']]
"('register',)",[['register']]
"('operational overview',)",[['operational overview']]
"('cyc_i', 'dat_i')","[['cyc_i', 'dat_i']]"
"('/ b,',)","[['/ b,']]"
"('qnan', 'snan')","[['qnan', 'snan']]"
"('written', 'specify')","[['written', 'specify']]"
"('num',)",[['num']]
"('xfpu',)",[['xfpu']]
"('return',)",[['return']]
"('internal units',)",[['internal units']]
"('description', 'pin', 'wb_fpu pin', 'pin description', 'wb_fpu pin description', 'functional description', 'table')","[['wb_fpu pin', 'pin description', 'pin', 'wb_fpu pin description', 'description', 'functional description'], ['wb_fpu pin', 'pin description', 'pin', 'table'], ['functional description', 'description', 'wb_fpu pin description', 'pin', 'table']]"
"('padded', 'entry', 'part', 'required', 'fractional')","[['part', 'entry', 'required', 'padded', 'fractional']]"
"('cycle signal', 'wishbone cycle')","[['cycle signal', 'wishbone cycle']]"
"('significand consisting', 'followed', 'consisting', 'fraction', 'hidden bit')","[['significand consisting', 'hidden bit', 'fraction', 'consisting', 'followed']]"
"('2.0', 'examples')","[['2.0', 'examples']]"
"('result address sub',)",[['result address sub']]
"('first',)",[['first']]
"('quiet', 'mathematically')","[['quiet', 'mathematically']]"
"('still', 'handling', 'extra', 'extra hardware', 'need', 'avoids', 'bias handling')","[['still', 'avoids', 'handling', 'extra', 'extra hardware'], ['still', 'avoids', 'need'], ['still', 'avoids', 'handling', 'extra', 'bias handling'], ['extra hardware', 'extra', 'handling', 'avoids', 'need'], ['extra hardware', 'extra', 'bias handling'], ['need', 'avoids', 'handling', 'extra', 'bias handling']]"
"('significant', 'least')","[['significant', 'least']]"
"('define',)",[['define']]
"('include', 'incremented')","[['include', 'incremented']]"
"('divide-by-zero', 'zero/zero', 'sticky', 'zero', 'ready', 'infinity')","[['divide-by-zero', 'zero/zero', 'sticky', 'zero', 'ready', 'infinity']]"
"('busy.1',)",[['busy.1']]
"('space', 'processors', 'mapping')","[['space', 'processors', 'mapping']]"
"('information', 'form')","[['information', 'form']]"
"('functional',)",[['functional']]
"('lsb',)",[['lsb']]
"('content', 'highlighted', 'within', 'accessed')","[['highlighted', 'content', 'within']]"
"('normalization unit',)",[['normalization unit']]
"('input and,',)","[['input and,']]"
"('smallest', 'requires', 'made')","[['requires', 'smallest', 'made']]"
"('communications',)",[['communications']]
"('various',)",[['various']]
"('receive',)",[['receive']]
"('calculation unit', 'facilitate')","[['calculation unit', 'facilitate']]"
"('generates',)",[['generates']]
"('property', 'whole', 'herein', 'trademarks')","[['property', 'trademarks', 'whole'], ['property', 'trademarks', 'herein'], ['whole', 'trademarks', 'herein']]"
"('guard', '754')","[['guard', '754']]"
"('addition unit',)",[['addition unit']]
"('hardware',)",[['hardware']]
"('round_up',)",[['round_up']]
"('network', 'unauthorized', 'trademark', 'language', 'computer', 'prohibited', 'board')","[['network', 'trademark', 'unauthorized', 'language'], ['network', 'trademark', 'computer'], ['network', 'trademark', 'prohibited'], ['network', 'trademark', 'board'], ['language', 'unauthorized', 'trademark', 'computer'], ['language', 'unauthorized', 'trademark', 'prohibited'], ['language', 'unauthorized', 'trademark', 'board'], ['computer', 'trademark', 'prohibited'], ['computer', 'trademark', 'board'], ['prohibited', 'trademark', 'board']]"
"('conjunction', 'denote')","[['conjunction', 'denote']]"
"('algorithms', 'implemented', 'sections', 'look')","[['algorithms', 'implemented', 'sections', 'look']]"
"('account',)",[['account']]
"('internal register',)",[['internal register']]
"('multiplication unit', 'busy', 'busy register', 'sub', 'determine')","[['multiplication unit', 'sub', 'busy', 'busy register'], ['multiplication unit', 'sub', 'busy', 'determine'], ['busy register', 'busy', 'determine']]"
"('operand values:', 'depend')","[['operand values:', 'depend']]"
"('status address status',)",[['status address status']]
"('opa',)",[['opa']]
"('""float""', 'denormalization')","[['""float""', 'denormalization']]"
"('whether', 'enable', 'local')","[['enable', 'whether', 'local']]"
"('directly',)",[['directly']]
"('exponent value',)",[['exponent value']]
"('processor', 'sent')","[['processor', 'sent']]"
