"('full', 'full accuracy', 'accuracy')","[['full accuracy', 'full', 'accuracy']]"
"('every', 'results')","[['every', 'results']]"
"('required', 'called', 'scripts', 'synthesis')","[['required', 'called', 'scripts'], ['required', 'called', 'synthesis'], ['scripts', 'called', 'synthesis']]"
"('189',)",[['189']]
"('levels', 'reference')","[['levels', 'reference']]"
"('documentation',)",[['documentation']]
"('company', 'survey', 'multi')","[['survey', 'company', 'multi']]"
"('double', 'appears', 'arithmetic', 'format')","[['arithmetic', 'double', 'appears', 'format']]"
"('bench environment', 'data processing')","[['bench environment', 'data processing']]"
"('overview',)",[['overview']]
"('pipelining', 'tests')","[['pipelining', 'tests']]"
"('58',)",[['58']]
"('internal', 'synchronous')","[['internal', 'synchronous']]"
"('customers', 'chips', 'regarding', 'places')","[['customers', 'chips', 'regarding'], ['customers', 'chips', 'places'], ['regarding', 'chips', 'places']]"
"('methods', 'easy')","[['methods', 'easy']]"
"('verilog source code or/and', 'verilog source', 'verilog source code')","[['verilog source', 'verilog source code or/and', 'verilog source code']]"
"('email support', 'phone', 'email')","[['email support', 'email', 'phone']]"
"('technical',)",[['technical']]
"('following', 'table', 'used')","[['following', 'used', 'table']]"
"('one',)",[['one']]
