"('vhdl',)",[['vhdl']]
"('ip core product', 'ip core product data', 'core product data sheet')","[['ip core product data', 'ip core product', 'core product data sheet']]"
"('detailed', 'provided', 'enable', 'parameters', 'generic', 'number', 'table', 'found', 'automatic', '90')","[['enable', 'parameters', 'detailed', 'number', 'generic'], ['enable', 'parameters', 'provided', 'table'], ['enable', 'parameters', 'detailed', 'found'], ['enable', 'parameters', 'detailed', 'automatic'], ['enable', 'parameters', 'detailed', 'number', '90'], ['generic', 'number', 'detailed', 'parameters', 'provided', 'table'], ['generic', 'number', 'detailed', 'found'], ['generic', 'number', 'detailed', 'automatic'], ['generic', 'number', '90'], ['table', 'provided', 'parameters', 'detailed', 'found'], ['table', 'provided', 'parameters', 'detailed', 'automatic'], ['table', 'provided', 'parameters', 'detailed', 'number', '90'], ['found', 'detailed', 'automatic'], ['found', 'detailed', 'number', '90'], ['automatic', 'detailed', 'number', '90']]"
"('business', 'constraint', 'efficient', 'cover', 'deliverable', 'generation')","[['business', 'deliverable', 'constraint'], ['business', 'deliverable', 'efficient'], ['business', 'deliverable', 'cover'], ['business', 'deliverable', 'generation'], ['constraint', 'deliverable', 'efficient'], ['constraint', 'deliverable', 'cover'], ['constraint', 'deliverable', 'generation'], ['efficient', 'deliverable', 'cover'], ['efficient', 'deliverable', 'generation'], ['cover', 'deliverable', 'generation']]"
"('key features', 'key')","[['key features', 'key']]"
"('driven', 'depends', 'vectors', 'could')","[['driven', 'depends', 'could', 'vectors']]"
"('core', 'decimal', 'support', 'implementation support')","[['decimal', 'core', 'support', 'implementation support']]"
"('encrypted', 'text', 'netlist', 'plain')","[['text', 'plain', 'encrypted', 'netlist']]"
"('45.1', '0.74')","[['45.1', '0.74']]"
"('dfp adder units decadd64/128', 'dfp adder units')","[['dfp adder units decadd64/128', 'dfp adder units']]"
"('test bench', 'environments', 'bench')","[['environments', 'test bench', 'bench']]"
"('model', 'configurations', 'tool', 'negotiated', 'innovative')","[['model', 'configurations', 'tool'], ['model', 'configurations', 'negotiated'], ['model', 'configurations', 'innovative'], ['tool', 'configurations', 'negotiated'], ['tool', 'configurations', 'innovative'], ['negotiated', 'configurations', 'innovative']]"
"('www.silminds.com',)",[['www.silminds.com']]
"('vhdl source code', 'vhdl source')","[['vhdl source code', 'vhdl source']]"
"('specification', 'hdl', 'core specification')","[['specification', 'core specification', 'hdl']]"
"('decadd64-pipe4', '2.03', 'm2')","[['decadd64-pipe4', 'm2', '2.03']]"
"('code', 'nm', 'source code:', 'documentation', 'sample', 'source')","[['code', 'documentation', 'nm'], ['code', 'documentation', 'source', 'source code:'], ['code', 'documentation', 'sample'], ['nm', 'documentation', 'source', 'source code:'], ['nm', 'documentation', 'sample'], ['source code:', 'source', 'documentation', 'sample']]"
