"('tested', 'compliant')","[['tested', 'compliant']]"
"('shifted', 'siq', 'siq shifted intermediate quotient', 'shifted intermediate', 'siq shifted', 'siq shifted intermediate', 'shifted intermediate quotient', 'intermediate quotient')","[['shifted', 'shifted intermediate', 'siq shifted', 'siq', 'siq shifted intermediate', 'siq shifted intermediate quotient'], ['shifted', 'shifted intermediate', 'siq shifted', 'siq', 'shifted intermediate quotient', 'intermediate quotient'], ['siq shifted intermediate quotient', 'siq shifted intermediate', 'siq', 'shifted intermediate quotient', 'intermediate quotient']]"
"('final',)",[['final']]
"('divisor',)",[['divisor']]
"('available', 'overflow flag', 'dbzf', 'every', 'clock')","[['available', 'every', 'clock', 'overflow flag', 'dbzf']]"
"('made', 'reliable', 'parameterized', 'architectures', 'easy', 'arbitrary', 'flexible', 'size', 'combined')","[['made', 'flexible', 'architectures', 'parameterized'], ['made', 'flexible', 'easy'], ['made', 'flexible', 'architectures', 'arbitrary'], ['made', 'flexible', 'reliable', 'size'], ['made', 'flexible', 'combined'], ['parameterized', 'architectures', 'flexible', 'easy'], ['parameterized', 'architectures', 'arbitrary'], ['parameterized', 'architectures', 'flexible', 'reliable', 'size'], ['parameterized', 'architectures', 'flexible', 'combined'], ['easy', 'flexible', 'architectures', 'arbitrary'], ['easy', 'flexible', 'reliable', 'size'], ['easy', 'flexible', 'combined'], ['arbitrary', 'architectures', 'flexible', 'reliable', 'size'], ['arbitrary', 'architectures', 'flexible', 'combined'], ['size', 'reliable', 'flexible', 'combined']]"
"('ip core implementation', 'implementation', 'core implementation support', 'core implementation', 'implementation support')","[['ip core implementation', 'core implementation', 'core implementation support', 'implementation', 'implementation support']]"
"('full test', 'precision support', 'full dfp accuracy')","[['full test', 'precision support', 'full dfp accuracy']]"
"('quotient trailing', 'quotient trailing zeros', 'qtz quotient trailing', 'qtz', 'qtz quotient', 'qtz quotient trailing zeros')","[['quotient trailing', 'qtz', 'quotient trailing zeros'], ['quotient trailing', 'qtz', 'qtz quotient'], ['quotient trailing', 'qtz', 'qtz quotient trailing', 'qtz quotient trailing zeros'], ['quotient trailing zeros', 'qtz', 'qtz quotient'], ['quotient trailing zeros', 'qtz', 'qtz quotient trailing', 'qtz quotient trailing zeros'], ['qtz quotient', 'qtz', 'qtz quotient trailing', 'qtz quotient trailing zeros']]"
"('sa dividend', 'significand', 'riq sa dividend significand', 'riq sa dividend', 'sa dividend significand', 'www.silminds.com', 'riq sa', 'sa', 'output flags,')","[['sa dividend', 'significand', 'sa', 'riq sa dividend', 'riq sa dividend significand'], ['sa dividend', 'significand', 'sa', 'sa dividend significand'], ['sa dividend', 'significand', 'output flags,', 'www.silminds.com'], ['sa dividend', 'significand', 'riq sa'], ['riq sa dividend significand', 'riq sa dividend', 'sa', 'sa dividend significand'], ['riq sa dividend significand', 'riq sa dividend', 'sa', 'significand', 'output flags,', 'www.silminds.com'], ['riq sa dividend significand', 'riq sa dividend', 'sa', 'significand', 'riq sa'], ['sa dividend significand', 'sa', 'significand', 'output flags,', 'www.silminds.com'], ['sa dividend significand', 'sa', 'significand', 'riq sa'], ['www.silminds.com', 'output flags,', 'significand', 'riq sa']]"
"('input', 'special')","[['input', 'special']]"
"('diagram', 'symbol', 'block diagram', 'block')","[['symbol', 'diagram', 'block', 'block diagram']]"
"('verified', 'benches')","[['verified', 'benches']]"
"('encoding', 'processors', 'densely', 'next')","[['densely', 'encoding', 'processors', 'next']]"
"('compliance', 'full ieee')","[['compliance', 'full ieee']]"
"('rm', 'synthesis', 'scripts', 'inputs')","[['rm', 'inputs', 'synthesis', 'scripts']]"
"('cases', 'environments')","[['cases', 'environments']]"
"('71.11', 'test bench', 'bench')","[['test bench', '71.11', 'bench']]"
"('newton-raphson',)",[['newton-raphson']]
"('required',)",[['required']]
