"('multiplier units', 'decmult64/128', 'multiplier units decmult64/128')","[['multiplier units', 'multiplier units decmult64/128', 'decmult64/128']]"
"('produce', 'operands', 'sign')","[['produce', 'operands', 'sign']]"
"('ip core product', 'ip core product data', 'core product data sheet')","[['ip core product data', 'ip core product', 'core product data sheet']]"
"('clk rst ine', 'clk rst ine en')","[['clk rst ine', 'clk rst ine en']]"
"('rst ine en inv', 'rst ine en')","[['rst ine en inv', 'rst ine en']]"
"('versions', 'code versions,', 'fpga', 'area')","[['versions', 'area', 'fpga', 'code versions,']]"
"('suites', 'cases')","[['suites', 'cases']]"
"('significand',)",[['significand']]
"('result exponent,', 'output flags,')","[['result exponent,', 'output flags,']]"
"('key features', 'key')","[['key features', 'key']]"
"('performance',)",[['performance']]
"('compact core', 'coprocessor', 'core size,', 'comprise arbitrary', 'product verification')","[['compact core', 'coprocessor', 'core size,'], ['compact core', 'coprocessor', 'comprise arbitrary'], ['compact core', 'coprocessor', 'product verification'], ['core size,', 'coprocessor', 'comprise arbitrary'], ['core size,', 'coprocessor', 'product verification'], ['comprise arbitrary', 'coprocessor', 'product verification']]"
"('detection', 'input detection', 'performs', 'formulation')","[['performs', 'input detection', 'detection', 'formulation']]"
"('final', 'employs', 'stage')","[['final', 'stage', 'employs']]"
"('encodes', 'resultant')","[['encodes', 'resultant']]"
"('operation', 'verilog test', 'verilog test bench')","[['verilog test', 'operation', 'verilog test bench']]"
"('control', 'master control', 'generates', 'point', 'signals', 'output formulation', 'master', 'multiplication', 'output', 'fixed', 'point multiplication', 'exponent')","[['master control', 'master', 'control', 'output', 'signals'], ['master control', 'master', 'control', 'output', 'output formulation'], ['master control', 'master', 'control', 'fixed', 'point', 'multiplication'], ['master control', 'master', 'control', 'fixed', 'point', 'point multiplication'], ['master control', 'master', 'control', 'fixed', 'point', 'generates', 'exponent'], ['signals', 'output', 'output formulation'], ['signals', 'output', 'control', 'fixed', 'point', 'multiplication'], ['signals', 'output', 'control', 'fixed', 'point', 'point multiplication'], ['signals', 'output', 'control', 'fixed', 'point', 'generates', 'exponent'], ['output formulation', 'output', 'control', 'fixed', 'point', 'multiplication'], ['output formulation', 'output', 'control', 'fixed', 'point', 'point multiplication'], ['output formulation', 'output', 'control', 'fixed', 'point', 'generates', 'exponent'], ['multiplication', 'point', 'point multiplication'], ['multiplication', 'point', 'generates', 'exponent'], ['point multiplication', 'point', 'generates', 'exponent']]"
"('inexact', 'invalid', 'underflow', 'inexact operation', 'flags', 'bench')","[['underflow', 'inexact', 'inexact operation'], ['underflow', 'inexact', 'flags', 'invalid', 'bench'], ['inexact operation', 'inexact', 'flags', 'invalid', 'bench']]"
"('input', 'special')","[['input', 'special']]"
"('driven', 'valid', 'verified', 'vectors', 'standard')","[['valid', 'standard', 'driven', 'verified'], ['valid', 'standard', 'driven', 'vectors'], ['verified', 'driven', 'vectors']]"
"('deliverable', 'agreement', 'business', 'business model')","[['business', 'deliverable', 'agreement', 'business model']]"
"('internal', 'values')","[['internal', 'values']]"
"('appropriate', 'sets', 'scripts', 'synthesis')","[['appropriate', 'synthesis', 'sets', 'scripts']]"
"('sign bit,', 'decodes')","[['sign bit,', 'decodes']]"
"('core product', 'data sheet', 'core product data', 'ip core')","[['core product', 'ip core', 'data sheet'], ['core product', 'ip core', 'core product data'], ['data sheet', 'ip core', 'core product data']]"
"('clk rst', 'rst ine', 'en', 'inv', 'www.silminds.com', 'ine', 'en inv')","[['clk rst', 'www.silminds.com', 'rst ine'], ['clk rst', 'www.silminds.com', 'en'], ['clk rst', 'www.silminds.com', 'inv'], ['clk rst', 'www.silminds.com', 'ine'], ['clk rst', 'www.silminds.com', 'en inv'], ['rst ine', 'www.silminds.com', 'en'], ['rst ine', 'www.silminds.com', 'inv'], ['rst ine', 'www.silminds.com', 'ine'], ['rst ine', 'www.silminds.com', 'en inv'], ['en', 'www.silminds.com', 'inv'], ['en', 'www.silminds.com', 'ine'], ['en', 'www.silminds.com', 'en inv'], ['inv', 'www.silminds.com', 'ine'], ['inv', 'www.silminds.com', 'en inv'], ['ine', 'www.silminds.com', 'en inv']]"
"('test bench', 'environments')","[['test bench', 'environments']]"
"('depends', 'could')","[['depends', 'could']]"
"('technical', 'well', 'additional', 'two', 'specified')","[['technical', 'well', 'specified', 'additional', 'two']]"
"('7542008', 'documentation', 'precision', 'accuracy')","[['7542008', 'documentation', 'precision', 'accuracy']]"
"('parallel decimal', 'novel', 'tree', 'adder', 'parallel')","[['parallel decimal', 'parallel', 'tree', 'adder', 'novel']]"
