"('z_inst',)",[['z_inst']]
"('inst_rnd',)",[['inst_rnd']]
"('xml',)",[['xml']]
"('pragma',)",[['pragma']]
"('hdl', 'verilog')","[['hdl', 'verilog']]"
"('253', 'part', 'fractional part', 'fractional')","[['part', '253', 'fractional', 'fractional part']]"
"('dw_fp_invsqrt',)",[['dw_fp_invsqrt']]
"('inc.',)",[['inc.']]
"('end',)",[['end']]
"('windows', 'acrobat distiller')","[['windows', 'acrobat distiller']]"
"('compatibility', '754')","[['compatibility', '754']]"
"('positive',)",[['positive']]
"('generic',)",[['generic']]
"('begin',)",[['begin']]
"('number',)",[['number']]
"('integer',)",[['integer']]
"('entity',)",[['entity']]
"('configuration',)",[['configuration']]
"('nans.', 'ieee')","[['nans.', 'ieee']]"
"('sig_width',)",[['sig_width']]
"('inst_exp_width',)",[['inst_exp_width']]
"('fp input', 'simulation model')","[['fp input', 'simulation model']]"
"('download', 'directory', 'version', 'information')","[['download', 'directory', 'information', 'version']]"
"('building', 'block ip documentation overview', 'block ip documentation', 'block', 'ip documentation overview')","[['building', 'block', 'block ip documentation overview'], ['building', 'block', 'block ip documentation'], ['building', 'block', 'ip documentation overview'], ['block ip documentation overview', 'block', 'block ip documentation'], ['block ip documentation overview', 'block', 'ip documentation overview'], ['block ip documentation', 'block', 'ip documentation overview']]"
"('module',)",[['module']]
"('features',)",[['features']]
"('component instantiation', 'hdl usage', 'hdl usage through component', 'hdl usage through')","[['hdl usage', 'component instantiation', 'hdl usage through component'], ['hdl usage', 'component instantiation', 'hdl usage through'], ['hdl usage through component', 'component instantiation', 'hdl usage through']]"
"('provides', 'variety')","[['provides', 'variety']]"
"('topics',)",[['topics']]
"('required', 'license', 'simulation')","[['required', 'license', 'simulation']]"
"('datasheet', 'dw_fp_sqrt')","[['datasheet', 'dw_fp_sqrt']]"
"('functionality', 'considers', 'controls')","[['functionality', 'considers', 'controls']]"
"('fully', 'generated', 'including', 'architecture', 'output', 'data')","[['architecture', 'fully', 'output', 'including', 'generated', 'data']]"
"('compliant', 'infinity', 'use', 'library')","[['compliant', 'library', 'infinity', 'use']]"
"('models',)",[['models']]
"('ip', 'ip directory', 'star', 'download information:')","[['ip directory', 'star', 'ip', 'download information:']]"
"('endmodule',)",[['endmodule']]
"('//', '// instance')","[['//', '// instance']]"
"('license feature', 'feature', 'synthesis model')","[['feature', 'license feature', 'synthesis model']]"
"('exp_width',)",[['exp_width']]
"('u1',)",[['u1']]
"('square root', 'alternative', 'square', 'root', 'reciprocal')","[['square root', 'square', 'reciprocal', 'alternative'], ['square root', 'square', 'root'], ['alternative', 'reciprocal', 'square', 'root']]"
"('description',)",[['description']]
"('design', 'design unit name', 'unit', 'design unit')","[['design', 'unit', 'design unit name'], ['design', 'unit', 'design unit'], ['design unit name', 'unit', 'design unit']]"
"('7.1', 'framemaker')","[['7.1', 'framemaker']]"
"('instantiation', 'ieee_compliance parameter', 'component', 'width', 'usage', 'parameter')","[['instantiation', 'usage', 'component', 'ieee_compliance parameter', 'parameter', 'width']]"
"('related',)",[['related']]
"('23',)",[['23']]
"('designware building', 'designware', 'ip documentation', 'block ip', 'documentation')","[['designware', 'designware building', 'ip documentation'], ['designware', 'designware building', 'block ip'], ['designware', 'designware building', 'documentation'], ['ip documentation', 'designware building', 'block ip'], ['ip documentation', 'designware building', 'documentation'], ['block ip', 'designware building', 'documentation']]"
"('benefits',)",[['benefits']]
"('status', 'input', 'flags', 'fraction')","[['status', 'input', 'flags', 'fraction']]"
"('implementations',)",[['implementations']]
"('status_inst',)",[['status_inst']]
"('distiller', 'acrobat', '7.0.5')","[['acrobat', 'distiller', '7.0.5']]"
"('controlled', 'covers', 'formats')","[['covers', 'controlled', 'formats']]"
"('fp', 'rnd')","[['fp', 'rnd']]"
"('parameter ieee_compliance',)",[['parameter ieee_compliance']]
"('rounding', 'biased', 'mode', 'numbers', 'modes')","[['biased', 'numbers', 'rounding', 'mode'], ['biased', 'numbers', 'rounding', 'modes'], ['mode', 'rounding', 'modes']]"
"('vhdl simulation', 'rtl', 'vhdl', 'vhdl simulation model')","[['rtl', 'vhdl', 'vhdl simulation', 'vhdl simulation model']]"
