"('storage', 'sign')","[['storage', 'sign']]"
"('windows',)",[['windows']]
"('lies', 'detected', 'cause', 'events', 'simply')","[['lies', 'cause', 'events', 'detected'], ['lies', 'cause', 'simply'], ['detected', 'events', 'cause', 'simply']]"
"('signals', 'input', 'input signals:', 'otherwise')","[['signals', 'input', 'input signals:'], ['signals', 'input', 'otherwise'], ['input signals:', 'input', 'otherwise']]"
"('single precision', 'single')","[['single precision', 'single']]"
"('00000001',)",[['00000001']]
"('please', 'possible', 'detail')","[['please', 'possible', 'detail']]"
"('verify', 'results', 'thats')","[['verify', 'thats', 'results']]"
"('xml',)",[['xml']]
"('digits', 'work', '1.0001', '12.1019', 'another', 'digital', '34.0000')","[['1.0001', 'work', '12.1019'], ['1.0001', 'work', 'digits', 'digital'], ['1.0001', 'work', '34.0000'], ['12.1019', 'work', 'digits', 'digital'], ['12.1019', 'work', '34.0000'], ['digital', 'digits', 'work', '34.0000']]"
"('10000001', '0.5')","[['10000001', '0.5']]"
"('society', 'scientist', 'computer', '1985', 'know')","[['society', 'computer', 'scientist'], ['society', 'computer', '1985'], ['society', 'computer', 'know'], ['scientist', 'computer', '1985'], ['scientist', 'computer', 'know'], ['1985', 'computer', 'know']]"
"('1996',)",[['1996']]
"('3.2.6',)",[['3.2.6']]
"('precise', 'precise results,')","[['precise', 'precise results,']]"
"('mantissa m,', 'mantissa')","[['mantissa m,', 'mantissa']]"
"('*3468', 'usselmann')","[['*3468', 'usselmann']]"
"('hardware implementation',)",[['hardware implementation']]
"('source', 'important', 'open', 'presented')","[['important', 'source', 'presented', 'open']]"
"('run', 'meeting', 'approximately')","[['run', 'meeting', 'approximately']]"
"('compare', 'remainder')","[['compare', 'remainder']]"
"('million', 'fond', 'modelsim', 'flag', 'underflow flag', 'worth')","[['fond', 'flag', 'million', 'underflow flag', 'modelsim'], ['fond', 'flag', 'worth'], ['modelsim', 'underflow flag', 'million', 'flag', 'worth']]"
"('formula', 'bias', 'understand', 'implicit')","[['bias', 'implicit', 'formula', 'understand']]"
"('flow diagram', 'flow', 'complex', 'lot')","[['flow diagram', 'flow', 'complex'], ['flow diagram', 'flow', 'lot'], ['complex', 'flow', 'lot']]"
"('contents',)",[['contents']]
"('bin', 'b0-23')","[['bin', 'b0-23']]"
"('listed', 'higher')","[['listed', 'higher']]"
"('3.4', 'towards', 'rounded', 'round-up', 'opposite')","[['3.4', 'rounded', 'towards', 'opposite']]"
