"('added', 'standard')","[['added', 'standard']]"
"('xml',)",[['xml']]
"('generation', 'xilinx fpga')","[['generation', 'xilinx fpga']]"
"('mantissa', 'match', 'alignment', 'alignment stage')","[['match', 'mantissa', 'alignment', 'alignment stage']]"
"('addition stage', 'normalization stage', 'normalization', 'stage')","[['addition stage', 'normalization', 'normalization stage'], ['addition stage', 'normalization', 'stage'], ['normalization stage', 'normalization', 'stage']]"
"('detailed', 'documentation', 'user documentation', 'user')","[['detailed', 'documentation', 'user', 'user documentation']]"
"('table', 'modules', 'signal table:')","[['table', 'modules', 'signal table:']]"
"('201', 'decides', 'addition', 'mode', 'operation', '361')","[['addition', 'decides', '361', 'operation', 'mode']]"
"('positive', 'deliverables')","[['positive', 'deliverables']]"
"('web', 'biased', 'negative', 'exponents', 'field', 'easier')","[['web', 'field', 'exponents', 'negative', 'biased'], ['web', 'field', 'exponents', 'easier'], ['biased', 'negative', 'exponents', 'easier']]"
"('point addition', '/ subtraction')","[['point addition', '/ subtraction']]"
"('test', 'benches', 'compared', 'results', 'vectors')","[['benches', 'test', 'results', 'compared'], ['benches', 'test', 'vectors'], ['compared', 'results', 'test', 'vectors']]"
"('handling', 'beginning')","[['handling', 'beginning']]"
"('three',)",[['three']]
"('32', 'description', 'clk')","[['32', 'description', 'clk']]"
"('first',)",[['first']]
"('bit', 'sign bit,', 'form', 'significant', 'sign')","[['significant', 'bit', 'form', 'sign bit,', 'sign']]"
"('without',)",[['without']]
"('operations', 'use')","[['operations', 'use']]"
"('virtex5', 'xc5vlx30ff324')","[['virtex5', 'xc5vlx30ff324']]"
"('102', '2900', '066')","[['102', '2900', '066']]"
"('latency', 'compliance', '754')","[['compliance', 'latency', '754']]"
"('real', 'processors', 'optimized', 'important', 'measure', 'integrable', 'speed', 'flexible')","[['important', 'real', 'processors', 'measure'], ['important', 'real', 'processors', 'speed', 'integrable', 'optimized', 'flexible'], ['measure', 'processors', 'speed', 'integrable', 'optimized', 'flexible']]"
"('barun',)",[['barun']]
"('figure',)",[['figure']]
"('microsoft word', 'word', 'microsoft')","[['word', 'microsoft word', 'microsoft']]"
"('sum', 'slice count')","[['sum', 'slice count']]"
"('normalization part', 'adder/', 'point adder/', 'addition/subtraction operation', 'adder/ subtracter')","[['normalization part', 'adder/', 'point adder/'], ['normalization part', 'adder/', 'addition/subtraction operation'], ['normalization part', 'adder/', 'adder/ subtracter'], ['point adder/', 'adder/', 'addition/subtraction operation'], ['point adder/', 'adder/', 'adder/ subtracter'], ['addition/subtraction operation', 'adder/', 'adder/ subtracter']]"
"('mobius tower,', 'fax', 'tel', 'epip', 'sjr ipark,', 'santa', 'softjin')","[['mobius tower,', 'tel', 'fax'], ['mobius tower,', 'tel', 'softjin', 'santa', 'epip'], ['mobius tower,', 'tel', 'sjr ipark,'], ['fax', 'tel', 'softjin', 'santa', 'epip'], ['fax', 'tel', 'sjr ipark,'], ['epip', 'santa', 'softjin', 'tel', 'sjr ipark,']]"
"('major', 'steps', 'performed', 'multiplier')","[['steps', 'major', 'performed'], ['steps', 'major', 'multiplier'], ['performed', 'major', 'multiplier']]"
"('exhaustive', 'simulation')","[['exhaustive', 'simulation']]"
"('entire system', 'mhz', 'input port')","[['entire system', 'mhz', 'input port']]"
"('bottleneck', 'subtracter')","[['bottleneck', 'subtracter']]"
"('features',)",[['features']]
"('dsp processors', 'ieee', 'dsp')","[['dsp processors', 'dsp', 'ieee']]"
"('used', 'bits')","[['used', 'bits']]"
"('avoid', 'stages', 'later')","[['stages', 'avoid', 'later']]"
"('available', '331', 'synchronous', 'system', 'design', 'supports')","[['331', 'system', 'synchronous', 'available', 'design', 'supports']]"
"('xilinx', 'emulated', 'ccode')","[['xilinx', 'emulated', 'ccode']]"
"('binary',)",[['binary']]
"('virtex4', 'xc4vlx15sf363')","[['virtex4', 'xc4vlx15sf363']]"
