"('fpu implementation', 'fraction calculation', 'underflow exception', 'fraction normalization')","[['fpu implementation', 'fraction calculation', 'underflow exception', 'fraction normalization']]"
"('single-precision numbers:', 'clock cycles,')","[['single-precision numbers:', 'clock cycles,']]"
"('expa fracg',)",[['expa fracg']]
"('ta0 physical organization', 'ta0 physical', '[ depiction')","[['ta0 physical organization', 'ta0 physical', '[ depiction']]"
"('invalid iv =',)",[['invalid iv =']]
"('fpu architecture', 'expb expl =', 'expb expl')","[['fpu architecture', 'expb expl', 'expb expl =']]"
"('isi fpu design', 'isi fpu')","[['isi fpu design', 'isi fpu']]"
"('produce nan,', 'whole family', 'unique nan,')","[['whole family', 'produce nan,', 'unique nan,']]"
"('operand selection', 'ieee arithmetic,', 'status flag', 'amount calculation', 'exception condition')","[['ieee arithmetic,', 'status flag', 'operand selection', 'amount calculation'], ['ieee arithmetic,', 'status flag', 'exception condition'], ['amount calculation', 'operand selection', 'status flag', 'exception condition']]"
"('exponent adjustment',)",[['exponent adjustment']]
"('expg expl = expa', 'set rsa', 'expg expl =')","[['set rsa', 'expg expl = expa', 'expg expl =']]"
"('fraca expz = expa', 'fraca expz =')","[['fraca expz = expa', 'fraca expz =']]"
"('= ~signa',)",[['= ~signa']]
"('calculate qtb',)",[['calculate qtb']]
"('approximate representation',)",[['approximate representation']]
"('required datapath:', 'underflow ud =')","[['required datapath:', 'underflow ud =']]"
"('exception generator,', 'normvhwuhvxowwr when', 'status checker,', 'sticky-bit generator', 'leading-zero detector,', 'stage controllers,', 'sticky-bit generators,')","[['exception generator,', 'normvhwuhvxowwr when', 'status checker,'], ['exception generator,', 'normvhwuhvxowwr when', 'sticky-bit generator'], ['exception generator,', 'normvhwuhvxowwr when', 'stage controllers,'], ['exception generator,', 'normvhwuhvxowwr when', 'sticky-bit generators,'], ['status checker,', 'normvhwuhvxowwr when', 'sticky-bit generator'], ['status checker,', 'normvhwuhvxowwr when', 'stage controllers,'], ['status checker,', 'normvhwuhvxowwr when', 'sticky-bit generators,'], ['sticky-bit generator', 'normvhwuhvxowwr when', 'stage controllers,'], ['sticky-bit generator', 'normvhwuhvxowwr when', 'sticky-bit generators,'], ['stage controllers,', 'normvhwuhvxowwr when', 'sticky-bit generators,']]"
"('pipeline fashion',)",[['pipeline fashion']]
"('zero d0 =',)",[['zero d0 =']]
"('right-shift amount', 'expg expl', '= frac=', 'fraca expz')","[['right-shift amount', 'expg expl', '= frac=', 'fraca expz']]"
"('division process',)",[['division process']]
"('op_div op_div op_div', 'op_div op_div op_div op_div', 'op_div op_div')","[['op_div op_div op_div op_div', 'op_div op_div op_div', 'op_div op_div']]"
"('clock cycle',)",[['clock cycle']]
"('absolute value/negation',)",[['absolute value/negation']]
"('raise exceptions,',)","[['raise exceptions,']]"
"('division operation,',)","[['division operation,']]"
"('divisor b', '|emin| emax', 'lookup table', 'complement method,')","[['divisor b', '|emin| emax', 'complement method,', 'lookup table']]"
"('sc required', 'sc required datapath:', '+ sc+')","[['sc required', '+ sc+', 'sc required datapath:']]"
"('pipeline scheduling,', 'set leading-zero', 'expansion algorithm', 'shift amount', 'expa expl=', 'fraction multiplication')","[['pipeline scheduling,', 'expansion algorithm', 'set leading-zero', 'fraction multiplication', 'expa expl=', 'shift amount']]"
"('get ulp',)",[['get ulp']]
"('alignment right-shift',)",[['alignment right-shift']]
"('zero d0', 'zero d0 = zkhq1rupvhwuhvxowwr')","[['zero d0', 'zero d0 = zkhq1rupvhwuhvxowwr']]"
"('hardware structure',)",[['hardware structure']]
"('ieee754 inexact', 'correct inexact', 'performance hardware', 'software support', 'inexact exceptions,', 'ieee-754 compatibility')","[['ieee754 inexact', 'software support', 'correct inexact'], ['ieee754 inexact', 'software support', 'performance hardware'], ['ieee754 inexact', 'software support', 'inexact exceptions,'], ['ieee754 inexact', 'software support', 'ieee-754 compatibility'], ['correct inexact', 'software support', 'performance hardware'], ['correct inexact', 'software support', 'inexact exceptions,'], ['correct inexact', 'software support', 'ieee-754 compatibility'], ['performance hardware', 'software support', 'inexact exceptions,'], ['performance hardware', 'software support', 'ieee-754 compatibility'], ['inexact exceptions,', 'software support', 'ieee-754 compatibility']]"
"('div div add sub', 'div div', 'add sub', 'div add sub', 'div div div', 'mul div div', 'div div add', 'div add', 'div div div add', 'mul div', 'mul div div div')","[['div div add sub', 'div div', 'mul div div', 'add sub', 'div div add', 'mul div', 'div add sub'], ['div div add sub', 'div div', 'mul div div', 'div add'], ['div div add sub', 'div div', 'mul div div', 'add sub', 'div div div', 'div div div add'], ['div div add sub', 'div div', 'mul div div', 'mul div div div'], ['div add sub', 'mul div', 'div div add', 'add sub', 'mul div div', 'div add'], ['div add sub', 'mul div', 'div div add', 'add sub', 'div div div', 'div div div add'], ['div add sub', 'mul div', 'div div add', 'add sub', 'mul div div', 'mul div div div'], ['div add', 'mul div div', 'add sub', 'div div div', 'div div div add'], ['div add', 'mul div div', 'mul div div div'], ['div div div add', 'div div div', 'add sub', 'mul div div', 'mul div div div']]"
"('result formatter,', 'operand status', 'operand formatters,')","[['result formatter,', 'operand status', 'operand formatters,']]"
"('sign bit calculation', 'exponent computation:')","[['sign bit calculation', 'exponent computation:']]"
"('sign bit', 'pipeline diagram', 'pipeline registers,', 'distinct zeros,', 'bit calculation', 'x fraction')","[['pipeline diagram', 'x fraction', 'distinct zeros,'], ['pipeline diagram', 'x fraction', 'pipeline registers,', 'sign bit', 'bit calculation'], ['distinct zeros,', 'x fraction', 'pipeline registers,', 'sign bit', 'bit calculation']]"
"('calculate bx bx =', 'bx bx =', 'calculate bx')","[['bx bx =', 'calculate bx bx =', 'calculate bx']]"
"('inexact exception', 'clock signal')","[['inexact exception', 'clock signal']]"
"('yba u|', 'exponent computation', 'qa yba', 'underflow occurs,', 'exponent caculation')","[['yba u|', 'underflow occurs,', 'qa yba'], ['yba u|', 'underflow occurs,', 'exponent caculation'], ['qa yba', 'underflow occurs,', 'exponent caculation']]"
"('rom access',)",[['rom access']]
"('underflow exception flag',)",[['underflow exception flag']]
"('fraca x sc =', 'fraca x', 'bx ax =')","[['fraca x', 'fraca x sc =', 'bx ax =']]"
"('linear pipeline',)",[['linear pipeline']]
