"('chain', 'ease', 'character', 'long', '41', 'easiest', 'running', '136', 'goes', 'waves', 'need', 'using', '80', 'page', 'compiles', 'occurring')","[['ease', 'character', 'long'], ['ease', 'character', 'using', '41'], ['ease', 'character', 'using', '136', '80', 'running', 'page', 'easiest'], ['ease', 'character', 'goes'], ['ease', 'character', 'waves'], ['ease', 'character', 'using', '136', '80', 'running', 'chain', 'need'], ['ease', 'character', 'compiles', 'occurring'], ['long', 'character', 'using', '41'], ['long', 'character', 'using', '136', '80', 'running', 'page', 'easiest'], ['long', 'character', 'goes'], ['long', 'character', 'waves'], ['long', 'character', 'using', '136', '80', 'running', 'chain', 'need'], ['long', 'character', 'compiles', 'occurring'], ['41', 'using', '136', '80', 'running', 'page', 'easiest'], ['41', 'using', 'character', 'goes'], ['41', 'using', 'character', 'waves'], ['41', 'using', '136', '80', 'running', 'chain', 'need'], ['41', 'using', 'character', 'compiles', 'occurring'], ['easiest', 'page', 'running', '80', '136', 'using', 'character', 'goes'], ['easiest', 'page', 'running', '80', '136', 'using', 'character', 'waves'], ['easiest', 'page', 'running', 'chain', 'need'], ['easiest', 'page', 'running', '80', '136', 'using', 'character', 'compiles', 'occurring'], ['goes', 'character', 'waves'], ['goes', 'character', 'using', '136', '80', 'running', 'chain', 'need'], ['goes', 'character', 'compiles', 'occurring'], ['waves', 'character', 'using', '136', '80', 'running', 'chain', 'need'], ['waves', 'character', 'compiles', 'occurring'], ['need', 'chain', 'running', '80', '136', 'using', 'character', 'compiles', 'occurring']]"
"('execution code', 'flags', 'condition execution')","[['execution code', 'flags', 'condition execution']]"
"('project', 'tar.gz', 'i_irq', 'r1')","[['tar.gz', 'project', 'i_irq'], ['tar.gz', 'project', 'r1'], ['i_irq', 'project', 'r1']]"
"('reasons', 'virtex-6 development', 'xilinx virtex-6')","[['reasons', 'xilinx virtex-6', 'virtex-6 development']]"
"('test_module.v',)",[['test_module.v']]
"('steps',)",[['steps']]
"('index', '00', 'greater', 'two', 'module', '4.', 'shifts', 'write enable,', 'cs')","[['00', 'greater', '4.', 'shifts', 'cs', 'two', 'index', 'module'], ['00', 'greater', '4.', 'shifts', 'cs', 'two', 'index', 'write enable,'], ['module', 'index', 'write enable,']]"
"('vcd', 'vcd output file')","[['vcd', 'vcd output file']]"
"('load address', 'load instruction,', 'a25_config_definesv defines')","[['load address', 'a25_config_definesv defines', 'load instruction,']]"
"('booth algorithm', 'stand-alone', 'logic area')","[['booth algorithm', 'logic area', 'stand-alone']]"
"('-a', 'flow', 'parity bits,', 'address_nxt', 'risc', 'verilog code,', 'run -a', 'dabhand', '""acorn', 'block rams', 'hardware flow')","[['flow', 'verilog code,', 'parity bits,'], ['flow', 'verilog code,', 'run -a', '-a', 'risc', 'block rams', 'address_nxt'], ['flow', 'verilog code,', 'run -a', '-a', 'risc', 'dabhand'], ['flow', 'verilog code,', 'run -a', '-a', 'risc', 'block rams', '""acorn'], ['flow', 'verilog code,', 'hardware flow'], ['parity bits,', 'verilog code,', 'run -a', '-a', 'risc', 'block rams', 'address_nxt'], ['parity bits,', 'verilog code,', 'run -a', '-a', 'risc', 'dabhand'], ['parity bits,', 'verilog code,', 'run -a', '-a', 'risc', 'block rams', '""acorn'], ['parity bits,', 'verilog code,', 'hardware flow'], ['address_nxt', 'block rams', 'risc', 'dabhand'], ['address_nxt', 'block rams', '""acorn'], ['address_nxt', 'block rams', 'risc', '-a', 'run -a', 'verilog code,', 'hardware flow'], ['dabhand', 'risc', 'block rams', '""acorn'], ['dabhand', 'risc', '-a', 'run -a', 'verilog code,', 'hardware flow'], ['""acorn', 'block rams', 'risc', '-a', 'run -a', 'verilog code,', 'hardware flow']]"
"('handler', 'system service', '14', 'exception handler')","[['handler', '14', 'system service'], ['handler', '14', 'exception handler'], ['system service', '14', 'exception handler']]"
"('swap instruction', 'cache_swap', 'nop', 'swp instruction', 'swp')","[['swp instruction', 'cache_swap', 'swap instruction', 'nop', 'swp']]"
