"('xml',)",[['xml']]
"('thus', 'number', 'advanced')","[['thus', 'advanced', 'number']]"
"('ddr2 dram', 'bus master', 'dram controller')","[['bus master', 'ddr2 dram', 'dram controller']]"
"('1.7',)",[['1.7']]
"('logic.', 'interface.')","[['logic.', 'interface.']]"
"('device core', 'sram', 'csx700', 'purpose i/o')","[['device core', 'sram', 'csx700'], ['device core', 'sram', 'purpose i/o'], ['csx700', 'sram', 'purpose i/o']]"
"('inputs', 'feeding', 'radiated', 'receivers', 'except', 'tied', 'pci express base', 'unused', 'eliminate', 'class ii', 'inactive', 'emissions', 'tying', 'pull-up resistor', 'approximately', 'unconnected', 'still', 'typically', 'configure')","[['inputs', 'typically', 'tying', 'except', 'feeding'], ['inputs', 'typically', 'tying', 'except', 'radiated'], ['inputs', 'typically', 'receivers'], ['inputs', 'typically', 'tied'], ['inputs', 'typically', 'unused', 'pci express base'], ['inputs', 'typically', 'eliminate'], ['inputs', 'typically', 'class ii'], ['inputs', 'typically', 'tying', 'inactive'], ['inputs', 'typically', 'tying', 'except', 'emissions'], ['inputs', 'typically', 'unused', 'pull-up resistor'], ['inputs', 'typically', 'unused', 'approximately'], ['inputs', 'typically', 'tying', 'unconnected'], ['inputs', 'typically', 'tying', 'still'], ['inputs', 'typically', 'tying', 'configure'], ['feeding', 'except', 'radiated'], ['feeding', 'except', 'tying', 'typically', 'receivers'], ['feeding', 'except', 'tying', 'typically', 'tied'], ['feeding', 'except', 'tying', 'typically', 'unused', 'pci express base'], ['feeding', 'except', 'tying', 'typically', 'eliminate'], ['feeding', 'except', 'tying', 'typically', 'class ii'], ['feeding', 'except', 'tying', 'inactive'], ['feeding', 'except', 'emissions'], ['feeding', 'except', 'tying', 'typically', 'unused', 'pull-up resistor'], ['feeding', 'except', 'tying', 'typically', 'unused', 'approximately'], ['feeding', 'except', 'tying', 'unconnected'], ['feeding', 'except', 'tying', 'still'], ['feeding', 'except', 'tying', 'configure'], ['radiated', 'except', 'tying', 'typically', 'receivers'], ['radiated', 'except', 'tying', 'typically', 'tied'], ['radiated', 'except', 'tying', 'typically', 'unused', 'pci express base'], ['radiated', 'except', 'tying', 'typically', 'eliminate'], ['radiated', 'except', 'tying', 'typically', 'class ii'], ['radiated', 'except', 'tying', 'inactive'], ['radiated', 'except', 'emissions'], ['radiated', 'except', 'tying', 'typically', 'unused', 'pull-up resistor'], ['radiated', 'except', 'tying', 'typically', 'unused', 'approximately'], ['radiated', 'except', 'tying', 'unconnected'], ['radiated', 'except', 'tying', 'still'], ['radiated', 'except', 'tying', 'configure'], ['receivers', 'typically', 'tied'], ['receivers', 'typically', 'unused', 'pci express base'], ['receivers', 'typically', 'eliminate'], ['receivers', 'typically', 'class ii'], ['receivers', 'typically', 'tying', 'inactive'], ['receivers', 'typically', 'tying', 'except', 'emissions'], ['receivers', 'typically', 'unused', 'pull-up resistor'], ['receivers', 'typically', 'unused', 'approximately'], ['receivers', 'typically', 'tying', 'unconnected'], ['receivers', 'typically', 'tying', 'still'], ['receivers', 'typically', 'tying', 'configure'], ['tied', 'typically', 'unused', 'pci express base'], ['tied', 'typically', 'eliminate'], ['tied', 'typically', 'class ii'], ['tied', 'typically', 'tying', 'inactive'], ['tied', 'typically', 'tying', 'except', 'emissions'], ['tied', 'typically', 'unused', 'pull-up resistor'], ['tied', 'typically', 'unused', 'approximately'], ['tied', 'typically', 'tying', 'unconnected'], ['tied', 'typically', 'tying', 'still'], ['tied', 'typically', 'tying', 'configure'], ['pci express base', 'unused', 'typically', 'eliminate'], ['pci express base', 'unused', 'typically', 'class ii'], ['pci express base', 'unused', 'typically', 'tying', 'inactive'], ['pci express base', 'unused', 'typically', 'tying', 'except', 'emissions'], ['pci express base', 'unused', 'pull-up resistor'], ['pci express base', 'unused', 'approximately'], ['pci express base', 'unused', 'typically', 'tying', 'unconnected'], ['pci express base', 'unused', 'typically', 'tying', 'still'], ['pci express base', 'unused', 'typically', 'tying', 'configure'], ['eliminate', 'typically', 'class ii'], ['eliminate', 'typically', 'tying', 'inactive'], ['eliminate', 'typically', 'tying', 'except', 'emissions'], ['eliminate', 'typically', 'unused', 'pull-up resistor'], ['eliminate', 'typically', 'unused', 'approximately'], ['eliminate', 'typically', 'tying', 'unconnected'], ['eliminate', 'typically', 'tying', 'still'], ['eliminate', 'typically', 'tying', 'configure'], ['class ii', 'typically', 'tying', 'inactive'], ['class ii', 'typically', 'tying', 'except', 'emissions'], ['class ii', 'typically', 'unused', 'pull-up resistor'], ['class ii', 'typically', 'unused', 'approximately'], ['class ii', 'typically', 'tying', 'unconnected'], ['class ii', 'typically', 'tying', 'still'], ['class ii', 'typically', 'tying', 'configure'], ['inactive', 'tying', 'except', 'emissions'], ['inactive', 'tying', 'typically', 'unused', 'pull-up resistor'], ['inactive', 'tying', 'typically', 'unused', 'approximately'], ['inactive', 'tying', 'unconnected'], ['inactive', 'tying', 'still'], ['inactive', 'tying', 'configure'], ['emissions', 'except', 'tying', 'typically', 'unused', 'pull-up resistor'], ['emissions', 'except', 'tying', 'typically', 'unused', 'approximately'], ['emissions', 'except', 'tying', 'unconnected'], ['emissions', 'except', 'tying', 'still'], ['emissions', 'except', 'tying', 'configure'], ['pull-up resistor', 'unused', 'approximately'], ['pull-up resistor', 'unused', 'typically', 'tying', 'unconnected'], ['pull-up resistor', 'unused', 'typically', 'tying', 'still'], ['pull-up resistor', 'unused', 'typically', 'tying', 'configure'], ['approximately', 'unused', 'typically', 'tying', 'unconnected'], ['approximately', 'unused', 'typically', 'tying', 'still'], ['approximately', 'unused', 'typically', 'tying', 'configure'], ['unconnected', 'tying', 'still'], ['unconnected', 'tying', 'configure'], ['still', 'tying', 'configure']]"
"('supply.', 'include', 'provided.')","[['supply.', 'include', 'provided.']]"
"('1.1.3', 'mono execution unit')","[['1.1.3', 'mono execution unit']]"
"('checking', 'double', 'including')","[['checking', 'including', 'double']]"
"('always', 'shows')","[['always', 'shows']]"
