"('register relative:', 'register con', 'con')","[['register con', 'register relative:', 'con']]"
"('conversions', 'addition', 'length', 'accepted', 'derived')","[['conversions', 'length', 'addition'], ['conversions', 'length', 'accepted'], ['conversions', 'length', 'derived'], ['addition', 'length', 'accepted'], ['addition', 'length', 'derived'], ['accepted', 'length', 'derived']]"
"('monitors', 'passed')","[['monitors', 'passed']]"
"('4-9', 'setup', 'clock high')","[['4-9', 'setup', 'clock high']]"
"('underflow trap', 'ones', 'infinity', 'number')","[['underflow trap', 'number', 'infinity', 'ones']]"
"('instruction protocol',)",[['instruction protocol']]
"('c10b38', 'eb1.17549436')","[['c10b38', 'eb1.17549436']]"
"('gen2 move,',)","[['gen2 move,']]"
"('requires',)",[['requires']]
"('nominally', 'wide', '2000', '38')","[['nominally', '38', 'wide', '2000']]"
"('general purpose registers', 'sub-', 'not-a-number', 'bias value', 'r0r7')","[['general purpose registers', 'not-a-number', 'sub-'], ['general purpose registers', 'not-a-number', 'r0r7', 'bias value'], ['sub-', 'not-a-number', 'r0r7', 'bias value']]"
"('included', '11101')","[['included', '11101']]"
"('cases', 'designed')","[['cases', 'designed']]"
"('01110',)",[['01110']]
"('f3', '00101', 'r3')","[['f3', 'r3', '00101']]"
"('general instruction protocol', 'protocol word,')","[['general instruction protocol', 'protocol word,']]"
"('5251',)",[['5251']]
"('diagrams',)",[['diagrams']]
"('resetting', '3.3')","[['resetting', '3.3']]"
"('associated', '2-5', 'one', 'determined', 'contain', '101', 'constants')","[['associated', '2-5', 'determined'], ['associated', '2-5', 'contain'], ['associated', '2-5', 'one', '101'], ['associated', '2-5', 'constants'], ['determined', '2-5', 'contain'], ['determined', '2-5', 'one', '101'], ['determined', '2-5', 'constants'], ['contain', '2-5', 'one', '101'], ['contain', '2-5', 'constants'], ['101', 'one', '2-5', 'constants']]"
"('cpu psrz', 'psrz andn', 'input ues,', 'ttl clock')","[['cpu psrz', 'ttl clock', 'psrz andn', 'input ues,']]"
"('applied', 'sent')","[['applied', 'sent']]"
