"('xml',)",[['xml']]
"('ip', 'core updates,', 'minor', 'ip core')","[['minor', 'core updates,', 'ip', 'ip core']]"
"('ieee-754 number', 'main')","[['ieee-754 number', 'main']]"
"('algorithms', 'dsp')","[['algorithms', 'dsp']]"
"('request', 'please', 'please check:', 'modification', 'check', 'special')","[['please check:', 'please', 'modification'], ['please check:', 'please', 'check'], ['please check:', 'please', 'request', 'special'], ['modification', 'please', 'check'], ['modification', 'please', 'request', 'special'], ['check', 'please', 'request', 'special']]"
"('data bus', 'ofo')","[['data bus', 'ofo']]"
"('rst', 'description')","[['rst', 'description']]"
"('pipelined square root', 'square root', 'pipelined square root unit')","[['square root', 'pipelined square root', 'pipelined square root unit']]"
"('poland',)",[['poland']]
"('full ieee-754 compliance', 'full ieee-754', 'full', 'ieee-754 compliance')","[['full ieee-754 compliance', 'full ieee-754', 'full'], ['full ieee-754 compliance', 'full ieee-754', 'ieee-754 compliance'], ['full', 'full ieee-754', 'ieee-754 compliance']]"
"('multi sites license', 'ip core instantiation', 'royalty-per-chip', 'license option')","[['multi sites license', 'royalty-per-chip', 'ip core instantiation'], ['multi sites license', 'royalty-per-chip', 'license option'], ['ip core instantiation', 'royalty-per-chip', 'license option']]"
"('diagram', 'block diagram', 'block')","[['block diagram', 'diagram', 'block']]"
"('pins',)",[['pins']]
"('wroclawska',)",[['wroclawska']]
"('tests', 'code', 'hdl source', 'vhdl', 'clock', 'rtl', 'source', 'verilog', 'pipelining', 'verilog source', 'called', 'reference', 'responses')","[['hdl source', 'rtl', 'source', 'vhdl'], ['hdl source', 'rtl', 'verilog', 'verilog source', 'code', 'clock'], ['hdl source', 'rtl', 'verilog', 'verilog source', 'code', 'pipelining'], ['hdl source', 'rtl', 'source', 'tests', 'called', 'reference'], ['hdl source', 'rtl', 'source', 'tests', 'called', 'responses'], ['vhdl', 'source', 'rtl', 'verilog', 'verilog source', 'code', 'clock'], ['vhdl', 'source', 'rtl', 'verilog', 'verilog source', 'code', 'pipelining'], ['vhdl', 'source', 'tests', 'called', 'reference'], ['vhdl', 'source', 'tests', 'called', 'responses'], ['clock', 'code', 'pipelining'], ['clock', 'code', 'verilog source', 'verilog', 'rtl', 'source', 'tests', 'called', 'reference'], ['clock', 'code', 'verilog source', 'verilog', 'rtl', 'source', 'tests', 'called', 'responses'], ['pipelining', 'code', 'verilog source', 'verilog', 'rtl', 'source', 'tests', 'called', 'reference'], ['pipelining', 'code', 'verilog source', 'verilog', 'rtl', 'source', 'tests', 'called', 'responses'], ['reference', 'called', 'responses']]"
"('ieee-754', 'root function', 'precision real')","[['root function', 'ieee-754', 'precision real']]"
"('core', 'specification', 'digital core')","[['specification', 'core', 'digital core']]"
"('single precision', 'single precision real', 'compute', 'format support', 'precision', 'real', 'clock cycle')","[['single precision real', 'single precision', 'precision', 'clock cycle', 'compute'], ['single precision real', 'single precision', 'format support'], ['single precision real', 'single precision', 'precision', 'real'], ['compute', 'clock cycle', 'precision', 'single precision', 'format support'], ['compute', 'clock cycle', 'precision', 'real'], ['format support', 'single precision', 'precision', 'real']]"
"('appropriate', 'arguments', 'analysis')","[['appropriate', 'arguments', 'analysis']]"
"('arithmetic', 'embedded')","[['arithmetic', 'embedded']]"
"('41-902', 'bytom')","[['41-902', 'bytom']]"
