"('field', 'verilog simulation', 'synthesis')","[['field', 'synthesis', 'verilog simulation']]"
"('fractional part', 'library', 'fractional')","[['fractional part', 'fractional', 'library']]"
"('inst_rnd',)",[['inst_rnd']]
"('information', 'version')","[['information', 'version']]"
"('direction', 'name', 'pin', 'implementation', 'verilog simulation model', 'single', 'synthesis model', 'two', 'pin name', 'values', 'either', 'license feature', 'model', 'bits')","[['direction', 'bits', 'implementation', 'name', 'pin'], ['direction', 'bits', 'implementation', 'name', 'model', 'synthesis model', 'verilog simulation model'], ['direction', 'bits', 'implementation', 'name', 'values', 'single', 'two'], ['direction', 'bits', 'implementation', 'name', 'model', 'pin name'], ['direction', 'bits', 'implementation', 'name', 'values', 'either'], ['direction', 'bits', 'implementation', 'name', 'model', 'license feature'], ['pin', 'name', 'model', 'synthesis model', 'verilog simulation model'], ['pin', 'name', 'values', 'single', 'two'], ['pin', 'name', 'model', 'pin name'], ['pin', 'name', 'values', 'either'], ['pin', 'name', 'model', 'license feature'], ['verilog simulation model', 'synthesis model', 'model', 'name', 'values', 'single', 'two'], ['verilog simulation model', 'synthesis model', 'model', 'pin name'], ['verilog simulation model', 'synthesis model', 'model', 'name', 'values', 'either'], ['verilog simulation model', 'synthesis model', 'model', 'license feature'], ['two', 'single', 'values', 'name', 'model', 'pin name'], ['two', 'single', 'values', 'either'], ['two', 'single', 'values', 'name', 'model', 'license feature'], ['pin name', 'model', 'name', 'values', 'either'], ['pin name', 'model', 'license feature'], ['either', 'values', 'name', 'model', 'license feature']]"
"('std_logic_arith', 'denormals.', 'designware')","[['std_logic_arith', 'denormals.', 'designware']]"
"('use',)",[['use']]
"('models',)",[['models']]
"('rounding', 'mode')","[['rounding', 'mode']]"
"('fully', 'generated', 'including')","[['fully', 'generated', 'including']]"
"('employed', 'numeric', 'area')","[['employed', 'area', 'numeric']]"
"('biased', 'exponent', 'numbers', 'output', 'data', 'port')","[['exponent', 'biased', 'numbers', 'output', 'data'], ['exponent', 'biased', 'numbers', 'output', 'port'], ['data', 'output', 'port']]"
"('windows', 'acrobat distiller')","[['windows', 'acrobat distiller']]"
"('ieee single,', 'ieee')","[['ieee single,', 'ieee']]"
"('generic',)",[['generic']]
"('using', 'generator', 'package')","[['using', 'generator', 'package']]"
"('compatible', 'available', 'zeros', 'controls')","[['compatible', 'controls', 'zeros', 'available']]"
"('number',)",[['number']]
"('integer',)",[['integer']]
"('entity',)",[['entity']]
"('sig_width',)",[['sig_width']]
"('configuration',)",[['configuration']]
"('31', 'exponents')","[['31', 'exponents']]"
"('model source', 'required', 'license')","[['model source', 'required', 'license']]"
"('double', 'format', 'produce', 'adds', 'parameterizable')","[['double', 'adds', 'format', 'parameterizable', 'produce']]"
"('compatibility',)",[['compatibility']]
"('map', 'port map')","[['map', 'port map']]"
"('building', 'block ip documentation overview', 'block ip documentation', 'block', 'ip documentation overview')","[['building', 'block', 'block ip documentation overview'], ['building', 'block', 'block ip documentation'], ['building', 'block', 'ip documentation overview'], ['block ip documentation overview', 'block', 'block ip documentation'], ['block ip documentation overview', 'block', 'ip documentation overview'], ['block ip documentation', 'block', 'ip documentation overview']]"
"('related',)",[['related']]
"('features',)",[['features']]
