"('xml',)",[['xml']]
"('implementation', 'direction', 'name', 'simulation')","[['implementation', 'direction', 'name', 'simulation']]"
"('models',)",[['models']]
"('op b',)",[['op b']]
"('entity',)",[['entity']]
"('inst_rnd', 'rnd')","[['inst_rnd', 'rnd']]"
"('nans.', '+ b')","[['nans.', '+ b']]"
"('usage', 'component', 'ieee', 'component instantiation')","[['usage', 'component', 'ieee'], ['usage', 'component', 'component instantiation'], ['ieee', 'component', 'component instantiation']]"
"('biased', 'word', 'exponent')","[['biased', 'exponent', 'word']]"
"('compatible', 'zeros', 'controls', 'parameters', 'formats')","[['parameters', 'compatible', 'controls', 'zeros', 'formats']]"
"('compliant', 'range', 'library', 'exponents')","[['library', 'compliant', 'range', 'exponents']]"
"('//', '// instance')","[['//', '// instance']]"
"('rounding', 'mode')","[['rounding', 'mode']]"
"('input', 'length', 'inst_exp_width', 'data', 'positive')","[['inst_exp_width', 'input', 'length', 'data'], ['inst_exp_width', 'input', 'positive'], ['data', 'length', 'input', 'positive']]"
"('table6',)",[['table6']]
"('implementations',)",[['implementations']]
"('distiller', 'acrobat', '7.0.5')","[['acrobat', 'distiller', '7.0.5']]"
"('using', 'package', 'numeric', 'generator', 'employed')","[['using', 'generator', 'package'], ['using', 'generator', 'employed', 'numeric'], ['package', 'generator', 'employed', 'numeric']]"
"('map',)",[['map']]
"('generic',)",[['generic']]
"('instantiation', 'hdl', 'hdl usage through component', 'vhdl')","[['instantiation', 'hdl', 'hdl usage through component'], ['instantiation', 'hdl', 'vhdl'], ['hdl usage through component', 'hdl', 'vhdl']]"
"('port map',)",[['port map']]
"('31', 'code', 'numbers')","[['code', '31', 'numbers']]"
"('inputs', 'less', 'outputs', 'dynamic', 'disabled', 'active')","[['inputs', 'active', 'less', 'outputs'], ['inputs', 'active', 'less', 'disabled', 'dynamic'], ['outputs', 'less', 'disabled', 'dynamic']]"
"('inst_sig_width',)",[['inst_sig_width']]
"('instance',)",[['instance']]
"('number',)",[['number']]
"('part', 'bits')","[['part', 'bits']]"
"('begin',)",[['begin']]
"('building', 'block ip documentation overview', 'block', 'block ip documentation', 'ip documentation overview')","[['building', 'block', 'block ip documentation overview'], ['building', 'block', 'block ip documentation'], ['building', 'block', 'ip documentation overview'], ['block ip documentation overview', 'block', 'block ip documentation'], ['block ip documentation overview', 'block', 'ip documentation overview'], ['block ip documentation', 'block', 'ip documentation overview']]"
"('features',)",[['features']]
"('function', 'rtl')","[['function', 'rtl']]"
"('pin', 'feature', 'pin name', 'license feature', 'verilog', 'model')","[['pin', 'model', 'pin name'], ['pin', 'model', 'license feature'], ['pin', 'model', 'feature', 'verilog'], ['pin name', 'model', 'license feature'], ['pin name', 'model', 'feature', 'verilog'], ['license feature', 'model', 'feature', 'verilog']]"
"('exp_width',)",[['exp_width']]
"('consumes',)",[['consumes']]
"('datapath gating', 'std_logic_arith package,', 'datapath')","[['datapath gating', 'datapath', 'std_logic_arith package,']]"
"('datapath generator', 'designware datapath', 'power')","[['datapath generator', 'power', 'designware datapath']]"
"('pragma', 'translate_on')","[['pragma', 'translate_on']]"
"('port',)",[['port']]
"('used',)",[['used']]
"('translate_off',)",[['translate_off']]
"('vhdl simulation', 'sig_width')","[['vhdl simulation', 'sig_width']]"
"('generated', 'including')","[['generated', 'including']]"
"('inst',)",[['inst']]
"('adder/subtractor',)",[['adder/subtractor']]
"('ports', 'bit', 'possible', 'verilog simulation')","[['ports', 'verilog simulation', 'possible', 'bit']]"
"('fractional part', 'fractional')","[['fractional part', 'fractional']]"
"('windows', 'acrobat distiller')","[['windows', 'acrobat distiller']]"
"('inst_op', 'parameter ieee_compliance', 'z_inst', 'inst_a', 'dw_add_fp')","[['parameter ieee_compliance', 'inst_op', 'inst_a', 'dw_add_fp', 'z_inst']]"
"('comment', 'line', 'preceding', 'uncomment')","[['preceding', 'line', 'comment', 'uncomment']]"
"('compatibility',)",[['compatibility']]
