"('infinity', 'considered', 'datapath generator', 'designware datapath', 'datapath', 'hardware', 'selectively', 'become')","[['considered', 'become', 'datapath generator'], ['considered', 'become', 'infinity', 'hardware', 'selectively'], ['datapath generator', 'become', 'infinity', 'hardware', 'selectively']]"
"('timing', 'additional', 'provides')","[['timing', 'additional', 'provides']]"
"('xml',)",[['xml']]
"('positive',)",[['positive']]
"('biased', 'optimized')","[['biased', 'optimized']]"
"('hdl usage through',)",[['hdl usage through']]
"('use',)",[['use']]
"('information', 'version')","[['information', 'version']]"
"('double', 'multiplier')","[['double', 'multiplier']]"
"('23',)",[['23']]
"('windows', 'acrobat distiller')","[['windows', 'acrobat distiller']]"
"('ieee single,', 'ieee')","[['ieee single,', 'ieee']]"
"('source code', '31', 'verilog simulation')","[['source code', '31', 'verilog simulation']]"
"('generic',)",[['generic']]
"('component',)",[['component']]
"('integer',)",[['integer']]
"('begin',)",[['begin']]
"('translate_on', 'pragma')","[['translate_on', 'pragma']]"
"('rounding', 'including', 'mode')","[['rounding', 'including', 'mode']]"
"('using',)",[['using']]
"('entity',)",[['entity']]
"('inst_b',)",[['inst_b']]
"('available',)",[['available']]
"('configuration',)",[['configuration']]
"('product',)",[['product']]
"('comment', 'preceding', 'line', 'uncomment')","[['preceding', 'line', 'comment', 'uncomment']]"
"('std_logic_arith', 'std_logic_arith package,')","[['std_logic_arith', 'std_logic_arith package,']]"
"('format', 'produce', 'multiplies', 'parameterizable')","[['produce', 'parameterizable', 'format', 'multiplies']]"
"('pin', 'pin name', 'feature', 'length', 'license feature', 'verilog', 'model', 'numbers')","[['pin', 'model', 'pin name'], ['pin', 'model', 'numbers', 'feature'], ['pin', 'model', 'numbers', 'length'], ['pin', 'model', 'numbers', 'license feature'], ['pin', 'model', 'numbers', 'verilog'], ['pin name', 'model', 'numbers', 'feature'], ['pin name', 'model', 'numbers', 'length'], ['pin name', 'model', 'numbers', 'license feature'], ['pin name', 'model', 'numbers', 'verilog'], ['feature', 'numbers', 'length'], ['feature', 'numbers', 'license feature'], ['feature', 'numbers', 'verilog'], ['length', 'numbers', 'license feature'], ['length', 'numbers', 'verilog'], ['license feature', 'numbers', 'verilog']]"
