"('QNaN',)",[['QNaN']]
"('5.6',)",[['5.6']]
"('1996',)",[['1996']]
"('known', 'Summery')","[['known', 'Summery']]"
"('steps',)",[['steps']]
"('102.7',)",[['102.7']]
"('11', 'inf_o')","[['inf_o', '11']]"
"('zero',)",[['zero']]
"('adding', 'integers')","[['adding', 'integers']]"
"('FP', 'basic')","[['FP', 'basic']]"
"('square-unit',)",[['square-unit']]
"('logic elements:',)",[['logic elements:']]
"('point unit', 'point')","[['point', 'point unit']]"
"('formats', 'extended', 'Basic')","[['Basic', 'formats'], ['extended', 'formats'], ['Basic', 'formats', 'extended']]"
"('save hardware', 'pre-', 'time fmax')","[['pre-', 'time fmax'], ['save hardware', 'pre-', 'time fmax']]"
"('architecture',)",[['architecture']]
"('fraction',)",[['fraction']]
"('comparsion', 'FPU comparsion')","[['comparsion', 'FPU comparsion']]"
"('default', 'exactly')","[['exactly', 'default']]"
"('1.0010',)",[['1.0010']]
"('3.5',)",[['3.5']]
"('seen', 'sign bit', 'corresponding', 'given', 'depending')","[['given', 'seen', 'depending'], ['seen', 'depending'], ['corresponding', 'sign bit', 'depending'], ['sign bit', 'depending'], ['seen', 'depending', 'sign bit']]"
"('Invalid Operation',)",[['Invalid Operation']]
"('represent',)",[['represent']]
"('zA',)",[['zA']]
"('lies', 'cause', 'simply')","[['cause', 'lies'], ['simply', 'cause', 'lies']]"
"('formula', 'understand', 'placeholder', 'sign')","[['sign', 'understand'], ['placeholder', 'understand'], ['formula', 'understand'], ['formula', 'understand', 'placeholder'], ['formula', 'understand', 'sign'], ['placeholder', 'understand', 'sign']]"
"('transformed',)",[['transformed']]
"('priority', 'possible', 'VHDL', 'difficult')","[['VHDL', 'possible'], ['difficult', 'VHDL', 'possible'], ['priority', 'difficult', 'VHDL']]"
"('ine_o', '= add,')","[['ine_o', '= add,']]"
"('Root',)",[['Root']]
"('011', '10')","[['011', '10']]"
"('importantly',)",[['importantly']]
"('opa_i',)",[['opa_i']]
"('operations', 'output', 'FPU operations:', 'start_i')","[['operations', 'FPU operations:'], ['output', 'FPU operations:'], ['start_i', 'FPU operations:'], ['operations', 'FPU operations:', 'output'], ['operations', 'FPU operations:', 'start_i'], ['output', 'FPU operations:', 'start_i']]"
"('easily', 'code', 'disable', 'modifying', 'Future', 'connecting', 'units', 'instantiating', 'totally')","[['code', 'Future'], ['modifying', 'Future'], ['disable', 'units', 'Future'], ['units', 'Future'], ['easily', 'units', 'Future'], ['totally', 'Future'], ['connecting', 'Future'], ['instantiating', 'disable', 'units'], ['disable', 'units', 'easily'], ['code', 'Future', 'connecting'], ['code', 'Future', 'modifying'], ['code', 'Future', 'totally'], ['code', 'Future', 'units'], ['connecting', 'Future', 'modifying'], ['connecting', 'Future', 'totally'], ['connecting', 'Future', 'units'], ['modifying', 'Future', 'totally'], ['modifying', 'Future', 'units'], ['totally', 'Future', 'units']]"
"('represented', 'exact', 'faster')","[['exact', 'represented'], ['faster', 'exact', 'represented']]"
"('exponent e',)",[['exponent e']]
"('+ infinity',)",[['+ infinity']]
"('3.2.2',)",[['3.2.2']]
"('differ', 'logic')","[['differ', 'logic']]"
"('Hardware', 'Hardware implementation')","[['Hardware', 'Hardware implementation']]"
"('status', 'encountered', 'status flag', 'five', 'bit status', 'defines')","[['encountered', 'defines'], ['status', 'defines'], ['five', 'encountered', 'defines'], ['status flag', 'status', 'defines'], ['bit status', 'status flag', 'status'], ['encountered', 'defines', 'status']]"
"('Kahan',)",[['Kahan']]
"('situation', 'number representation', 'use fixed-point', 'way', 'etc')","[['way', 'situation'], ['etc', 'way', 'situation'], ['number representation', 'etc', 'way'], ['use fixed-point', 'number representation', 'etc']]"
"('ready', 'modes')","[['ready', 'modes']]"
"('base b=10,', 'base', 'choose')","[['choose', 'base'], ['base b=10,', 'base'], ['base b=10,', 'base', 'choose']]"
"('3.3.4',)",[['3.3.4']]
"('better', 'table', 'stored')","[['better', 'table'], ['stored', 'better', 'table']]"
"('also', 'radix', 'called')","[['also', 'radix'], ['called', 'also', 'radix']]"
"('1.11000010',)",[['1.11000010']]
"('multiple', 'saving')","[['saving', 'multiple']]"
"('operand', 'output_o', '32', 'fpu_op_i')","[['output_o', 'operand'], ['32', 'operand'], ['fpu_op_i', 'operand'], ['32', 'operand', 'fpu_op_i'], ['32', 'operand', 'output_o'], ['fpu_op_i', 'operand', 'output_o']]"
"('rounded',)",[['rounded']]
"('multiplexer', 'elements')","[['multiplexer', 'elements']]"
"('using', 'make')","[['make', 'using']]"
"('Operation',)",[['Operation']]
"('specified',)",[['specified']]
"('1.1110',)",[['1.1110']]
"('4.1',)",[['4.1']]
"('000', '1.1001')","[['1.1001', '000']]"
"('unbiased', 'exponent')","[['unbiased', 'exponent']]"
"('Round',)",[['Round']]
"('Formats', '3.1')","[['Formats', '3.1']]"
"('26', '13')","[['26', '13']]"
"('Multiply',)",[['Multiply']]
"('starts', 'bit', 'significant', 'left')","[['starts', 'left'], ['significant', 'left'], ['bit', 'starts', 'left'], ['significant', 'left', 'starts']]"
"('base number',)",[['base number']]
"('mantissa', 'storage')","[['mantissa', 'storage']]"
"('multiply', 'calculate')","[['calculate', 'multiply']]"
"('Square', 'Square root:')","[['Square', 'Square root:']]"
