"('sacrificing', 'accuracy')","[['sacrificing', 'accuracy']]"
"('junction temperature', 'substitution')","[['junction temperature', 'substitution']]"
"('life', 'appear', 'relinking', 'corporation', 'sale', 'devices', 'commitment', 'use software', 'contained', 'systems', 'reassembling', 'implication', 'conditions', 'emulation')","[['life', 'implication', 'conditions', 'sale', 'contained', 'commitment', 'appear'], ['life', 'implication', 'conditions', 'sale', 'contained', 'commitment', 'corporation'], ['life', 'implication', 'devices'], ['life', 'implication', 'conditions', 'systems', 'relinking', 'use software', 'reassembling'], ['life', 'implication', 'conditions', 'systems', 'relinking', 'use software', 'emulation'], ['appear', 'commitment', 'corporation'], ['appear', 'commitment', 'contained', 'sale', 'conditions', 'implication', 'devices'], ['appear', 'commitment', 'contained', 'sale', 'conditions', 'systems', 'relinking', 'use software', 'reassembling'], ['appear', 'commitment', 'contained', 'sale', 'conditions', 'systems', 'relinking', 'use software', 'emulation'], ['corporation', 'commitment', 'contained', 'sale', 'conditions', 'implication', 'devices'], ['corporation', 'commitment', 'contained', 'sale', 'conditions', 'systems', 'relinking', 'use software', 'reassembling'], ['corporation', 'commitment', 'contained', 'sale', 'conditions', 'systems', 'relinking', 'use software', 'emulation'], ['devices', 'implication', 'conditions', 'systems', 'relinking', 'use software', 'reassembling'], ['devices', 'implication', 'conditions', 'systems', 'relinking', 'use software', 'emulation'], ['reassembling', 'use software', 'emulation']]"
"('select timing', 'ts68882 co-processor', 'cs signal')","[['select timing', 'cs signal', 'ts68882 co-processor']]"
"('main processor',)",[['main processor']]
"('whenever', 'sequential', 'possible')","[['whenever', 'sequential', 'possible']]"
"('known', 'pertaining', 'orthogonally', 'equations')","[['orthogonally', 'known', 'pertaining', 'equations']]"
"('-chip', 'xvcc', 'real data', 'decimal string', '16.67')","[['xvcc', 'real data', '-chip', 'decimal string', '16.67']]"
"('pins', 'output', 'determined', '= power')","[['pins', 'output', 'determined', '= power']]"
"('jc',)",[['jc']]
"('rousset', 'france', 'industrielle', 'bp', 'france tel', 'chantrerie')","[['rousset', 'france', 'bp', 'france tel', 'industrielle'], ['rousset', 'france', 'bp', 'france tel', 'chantrerie'], ['industrielle', 'france tel', 'chantrerie']]"
"('ts68000 family,', 'address register', 'register direct,', 'include immediate,')","[['address register', 'register direct,', 'ts68000 family,', 'include immediate,']]"
"('ts68000 family',)",[['ts68000 family']]
"('different', 'speeds')","[['different', 'speeds']]"
"('jose', 'san', 'orchard')","[['jose', 'orchard', 'san']]"
"('exceptions', 'require', 'processing')","[['exceptions', 'processing', 'require']]"
"('2002',)",[['2002']]
"('= package', 'variants', 'static', 'thermal resistance,')","[['= package', 'thermal resistance,', 'static', 'variants']]"
"('hold time', 'delay specification', 'time specification')","[['delay specification', 'hold time', 'time specification']]"
"('/ts68030', 'ea', 'fp0-fp3/fp7')","[['/ts68030', 'ea', 'fp0-fp3/fp7']]"
"('ts68000 family co-processorco-processor', 'perform address', 'time exception', 'co-processor interface,', 'generate execution', 'ts68020/ts68030 single-step')","[['perform address', 'ts68000 family co-processorco-processor', 'time exception'], ['perform address', 'ts68000 family co-processorco-processor', 'co-processor interface,'], ['perform address', 'ts68000 family co-processorco-processor', 'generate execution'], ['perform address', 'ts68000 family co-processorco-processor', 'ts68020/ts68030 single-step'], ['time exception', 'ts68000 family co-processorco-processor', 'co-processor interface,'], ['time exception', 'ts68000 family co-processorco-processor', 'generate execution'], ['time exception', 'ts68000 family co-processorco-processor', 'ts68020/ts68030 single-step'], ['co-processor interface,', 'ts68000 family co-processorco-processor', 'generate execution'], ['co-processor interface,', 'ts68000 family co-processorco-processor', 'ts68020/ts68030 single-step'], ['generate execution', 'ts68000 family co-processorco-processor', 'ts68020/ts68030 single-step']]"
"('cpu address', 'cpu address space')","[['cpu address', 'cpu address space']]"
"('licenses', 'property')","[['licenses', 'property']]"
"('bus configuration', 'resistance', 'barrier', 'heat flow')","[['bus configuration', 'resistance', 'barrier'], ['bus configuration', 'resistance', 'heat flow'], ['barrier', 'resistance', 'heat flow']]"
"('atmel corporate', 'parkway', 'asic/assp/smart', 'san jose,')","[['parkway', 'atmel corporate', 'san jose,', 'asic/assp/smart']]"
"('influenced', 'cooling', 'air', 'sinks', 'result')","[['cooling', 'influenced', 'air'], ['cooling', 'influenced', 'sinks'], ['cooling', 'influenced', 'result'], ['air', 'influenced', 'sinks'], ['air', 'influenced', 'result'], ['sinks', 'influenced', 'result']]"
"('reference', 'marked', 'identified')","[['marked', 'reference', 'identified']]"
"('273', 'utilizes', 'service', 'solving', 'legal', 'printing', 'perceives', 'path', 'ts68882 fmove.x fpm.fpn move', 'gives', 'readily')","[['utilizes', 'printing', 'solving', 'service', 'legal'], ['utilizes', 'printing', 'perceives'], ['utilizes', 'printing', 'solving', 'service', 'path'], ['utilizes', 'printing', 'ts68882 fmove.x fpm.fpn move'], ['utilizes', 'printing', '273', 'readily', 'gives'], ['legal', 'service', 'solving', 'printing', 'perceives'], ['legal', 'service', 'path'], ['legal', 'service', 'solving', 'printing', 'ts68882 fmove.x fpm.fpn move'], ['legal', 'service', 'solving', 'printing', '273', 'readily', 'gives'], ['perceives', 'printing', 'solving', 'service', 'path'], ['perceives', 'printing', 'ts68882 fmove.x fpm.fpn move'], ['perceives', 'printing', '273', 'readily', 'gives'], ['path', 'service', 'solving', 'printing', 'ts68882 fmove.x fpm.fpn move'], ['path', 'service', 'solving', 'printing', '273', 'readily', 'gives'], ['ts68882 fmove.x fpm.fpn move', 'printing', '273', 'readily', 'gives']]"
"('signals', 'contact')","[['signals', 'contact']]"
"('heilbronn', 'germany', 'theresienstrasse')","[['germany', 'heilbronn', 'theresienstrasse']]"
"('frequency mhz', 'mhz', 'system')","[['mhz', 'frequency mhz', 'system']]"
"('vin=0tamb =25c',)",[['vin=0tamb =25c']]
"('68882-16', 'watts', '68882-33', '68882-20', '68882-25')","[['68882-16', 'watts', '68882-33'], ['68882-16', 'watts', '68882-20'], ['68882-16', 'watts', '68882-25'], ['68882-33', 'watts', '68882-20'], ['68882-33', 'watts', '68882-25'], ['68882-20', 'watts', '68882-25']]"
"('assertions',)",[['assertions']]
"('functional description',)",[['functional description']]
"('4-76-58-30-00', '38521', '123', '4-76-58-34-80')","[['4-76-58-30-00', '123', '38521'], ['4-76-58-30-00', '123', '4-76-58-34-80'], ['38521', '123', '4-76-58-34-80']]"
"('neglected', 'relationship')","[['neglected', 'relationship']]"
"('blvd', 'springs', '80906', 'co', '1150')","[['blvd', 'co', 'springs', '80906'], ['blvd', 'co', 'springs', '1150'], ['80906', 'springs', '1150']]"
"('bus transfers,', 's datum', 'optional ftrapcc', 's datum surface', 'datum surface', 'ts68000 style', 'fnop no operation', 'fnop no')","[['bus transfers,', 'ts68000 style', 'optional ftrapcc'], ['bus transfers,', 'ts68000 style', 'fnop no', 's datum', 's datum surface'], ['bus transfers,', 'ts68000 style', 'datum surface'], ['bus transfers,', 'ts68000 style', 'fnop no operation'], ['optional ftrapcc', 'ts68000 style', 'fnop no', 's datum', 's datum surface'], ['optional ftrapcc', 'ts68000 style', 'datum surface'], ['optional ftrapcc', 'ts68000 style', 'fnop no operation'], ['s datum surface', 's datum', 'fnop no', 'ts68000 style', 'datum surface'], ['s datum surface', 's datum', 'fnop no', 'ts68000 style', 'fnop no operation'], ['datum surface', 'ts68000 style', 'fnop no operation']]"
"('ac specifications',)",[['ac specifications']]
"('atmel colorado springs', 'east cheyenne mtn', 'cheyenne', 'colorado')","[['atmel colorado springs', 'cheyenne', 'east cheyenne mtn'], ['atmel colorado springs', 'cheyenne', 'colorado'], ['east cheyenne mtn', 'cheyenne', 'colorado']]"
"('corporate', 'headquarters')","[['corporate', 'headquarters']]"
"('detailed', 'marking', 'specifications', 'support', 'virtual', 'reserves', 'make', 'assumes')","[['marking', 'specifications', 'detailed', 'reserves', 'support', 'virtual'], ['marking', 'specifications', 'detailed', 'make'], ['marking', 'specifications', 'detailed', 'reserves', 'support', 'assumes'], ['virtual', 'support', 'reserves', 'detailed', 'make'], ['virtual', 'support', 'assumes'], ['make', 'detailed', 'reserves', 'support', 'assumes']]"
"('co-processor communication', 'subsequent instruction', 'hi-rel product', 'nonconcurrent instruction', 'concurrent instruction', 'fdbcc decrement', 'information hi-rel', 'instruction-by-instruction basis')","[['co-processor communication', 'fdbcc decrement', 'subsequent instruction'], ['co-processor communication', 'fdbcc decrement', 'information hi-rel', 'hi-rel product'], ['co-processor communication', 'fdbcc decrement', 'nonconcurrent instruction'], ['co-processor communication', 'fdbcc decrement', 'concurrent instruction'], ['co-processor communication', 'fdbcc decrement', 'instruction-by-instruction basis'], ['subsequent instruction', 'fdbcc decrement', 'information hi-rel', 'hi-rel product'], ['subsequent instruction', 'fdbcc decrement', 'nonconcurrent instruction'], ['subsequent instruction', 'fdbcc decrement', 'concurrent instruction'], ['subsequent instruction', 'fdbcc decrement', 'instruction-by-instruction basis'], ['hi-rel product', 'information hi-rel', 'fdbcc decrement', 'nonconcurrent instruction'], ['hi-rel product', 'information hi-rel', 'fdbcc decrement', 'concurrent instruction'], ['hi-rel product', 'information hi-rel', 'fdbcc decrement', 'instruction-by-instruction basis'], ['nonconcurrent instruction', 'fdbcc decrement', 'concurrent instruction'], ['nonconcurrent instruction', 'fdbcc decrement', 'instruction-by-instruction basis'], ['concurrent instruction', 'fdbcc decrement', 'instruction-by-instruction basis']]"
"('inspections', 'production', 'periodical', '5005')","[['inspections', 'production', 'periodical'], ['inspections', 'production', '5005'], ['periodical', 'production', '5005']]"
"('country', 'manufacturing')","[['country', 'manufacturing']]"
"('main',)",[['main']]
"('class b identification', 'identification', 'class', 'class b')","[['class b identification', 'class b', 'identification', 'class']]"
"('method number,', 'packed', 'consist')","[['packed', 'method number,', 'consist']]"
"('71-31-67-2340', '74025', '3535', '71-31-67-0', '49')","[['71-31-67-2340', '49', '74025'], ['71-31-67-2340', '49', '3535'], ['71-31-67-2340', '49', '71-31-67-0'], ['74025', '49', '3535'], ['74025', '49', '71-31-67-0'], ['3535', '49', '71-31-67-0']]"
"('communicate',)",[['communicate']]
"('language code,', 'output delay', 'compiler writer', 'rise time,', 'device pair,', 'setup time')","[['language code,', 'output delay', 'compiler writer'], ['language code,', 'output delay', 'rise time,'], ['language code,', 'output delay', 'device pair,'], ['language code,', 'output delay', 'setup time'], ['compiler writer', 'output delay', 'rise time,'], ['compiler writer', 'output delay', 'device pair,'], ['compiler writer', 'output delay', 'setup time'], ['rise time,', 'output delay', 'device pair,'], ['rise time,', 'output delay', 'setup time'], ['device pair,', 'output delay', 'setup time']]"
"('group', 'd inspection', 'accordance', 'tj =ta', 'basis', 'group c', 'pd')","[['group', 'basis', 'tj =ta', 'd inspection'], ['group', 'basis', 'group c'], ['group', 'basis', 'accordance', 'pd'], ['d inspection', 'tj =ta', 'basis', 'group c'], ['d inspection', 'tj =ta', 'basis', 'accordance', 'pd'], ['group c', 'basis', 'accordance', 'pd']]"
