"('8051', 'gnu')","[['8051', 'gnu']]"
"('multi sites license', 'multi sites', 'option', 'license', 'core instantiation')","[['multi sites license', 'multi sites', 'core instantiation', 'option'], ['multi sites license', 'multi sites', 'core instantiation', 'license'], ['option', 'core instantiation', 'license']]"
"('xml',)",[['xml']]
"('shifter',)",[['shifter']]
"('supported', 'types')","[['supported', 'types']]"
"('exponent', 'measured', 'contains', 'number', 'exponent part', 'shifting', 'conversion operations,', 'exponents')","[['measured', 'number', 'exponent', 'exponents', 'contains'], ['measured', 'number', 'exponent', 'conversion operations,', 'exponent part'], ['measured', 'number', 'exponent', 'shifting'], ['contains', 'exponents', 'exponent', 'conversion operations,', 'exponent part'], ['contains', 'exponents', 'exponent', 'shifting'], ['exponent part', 'conversion operations,', 'exponent', 'shifting']]"
"('operand', 'encrypted', 'invalid', 'format')","[['operand', 'format', 'encrypted'], ['operand', 'format', 'invalid'], ['encrypted', 'format', 'invalid']]"
"('mathematic', 'replaces', 'compilation', 'driver', 'require', 'equivalent', 'software')","[['mathematic', 'software', 'replaces'], ['mathematic', 'software', 'driver', 'compilation'], ['mathematic', 'software', 'driver', 'require'], ['mathematic', 'software', 'driver', 'equivalent'], ['replaces', 'software', 'driver', 'compilation'], ['replaces', 'software', 'driver', 'require'], ['replaces', 'software', 'driver', 'equivalent'], ['compilation', 'driver', 'require'], ['compilation', 'driver', 'equivalent'], ['require', 'driver', 'equivalent']]"
"('78.7', 'average', 'speed')","[['78.7', 'speed', 'average']]"
"('dfpmu-', 'versa', 'math unit', 'math')","[['dfpmu-', 'math unit', 'math', 'versa']]"
"('align', 'test bench', 'analysis', 'performs')","[['align', 'performs', 'test bench'], ['align', 'performs', 'analysis'], ['test bench', 'performs', 'analysis']]"
"('configurability', 'built-in')","[['configurability', 'built-in']]"
"('algorithms', 'dsp')","[['algorithms', 'dsp']]"
"('chip', 'select')","[['chip', 'select']]"
"('register address', 'register', 'address')","[['register address', 'register', 'address']]"
"('double', 'code or/and')","[['double', 'code or/and']]"
"('fax',)",[['fax']]
"('nor-malization', 'denormalization', 'bits', 'mantissa shifting,', 'infor-mation')","[['nor-malization', 'denormalization', 'bits'], ['nor-malization', 'denormalization', 'mantissa shifting,'], ['nor-malization', 'denormalization', 'infor-mation'], ['bits', 'denormalization', 'mantissa shifting,'], ['bits', 'denormalization', 'infor-mation'], ['mantissa shifting,', 'denormalization', 'infor-mation']]"
"('c compiler', 'work', 'library functions,', 'perfor-mance', 'c library')","[['c compiler', 'work', 'library functions,'], ['c compiler', 'work', 'perfor-mance'], ['c compiler', 'work', 'c library'], ['library functions,', 'work', 'perfor-mance'], ['library functions,', 'work', 'c library'], ['perfor-mance', 'work', 'c library']]"
"('instruction', 'computed', '35000', 'required', 'results', 'placed', '100')","[['results', 'placed', 'required', 'computed', 'instruction', '35000', '100']]"
"('fcld', 'fild')","[['fcld', 'fild']]"
"('control unit', 'unit')","[['control unit', 'unit']]"
"('applications',)",[['applications']]
"('diagram', 'block diagram', 'block')","[['block diagram', 'diagram', 'block']]"
"('gates', 'area')","[['gates', 'area']]"
"('bytom',)",[['bytom']]
"('wroclawska',)",[['wroclawska']]
"('available', 'details')","[['available', 'details']]"
