"('mobius tower,', 'fax', 'karnataka', 'epip', 'white field,', 'sjr')","[['mobius tower,', 'sjr', 'fax', 'karnataka'], ['mobius tower,', 'sjr', 'fax', 'epip', 'white field,'], ['karnataka', 'fax', 'epip', 'white field,']]"
"('xml',)",[['xml']]
"('process', 'repeated', 'stages', 'description', 'depending')","[['process', 'stages', 'repeated'], ['process', 'stages', 'description'], ['process', 'stages', 'depending'], ['repeated', 'stages', 'description'], ['repeated', 'stages', 'depending'], ['description', 'stages', 'depending']]"
"('virtex4', 'xc4vlx25ff676')","[['virtex4', 'xc4vlx25ff676']]"
"('useful', 'used', 'dynamic', 'number')","[['used', 'useful', 'number', 'dynamic']]"
"('ave', 'tower', 'pvt', 'page')","[['tower', 'ave', 'pvt'], ['tower', 'ave', 'page'], ['pvt', 'ave', 'page']]"
"('floating point', 'point', 'signal table', 'dsp processors', 'dsp', 'width', 'single', 'multiplier', 'floating', 'designers', 'data')","[['floating point', 'floating', 'point', 'multiplier', 'signal table'], ['floating point', 'floating', 'point', 'dsp', 'dsp processors'], ['floating point', 'floating', 'point', 'data', 'width'], ['floating point', 'floating', 'single', 'designers'], ['signal table', 'multiplier', 'point', 'dsp', 'dsp processors'], ['signal table', 'multiplier', 'point', 'data', 'width'], ['signal table', 'multiplier', 'point', 'floating', 'single', 'designers'], ['dsp processors', 'dsp', 'point', 'data', 'width'], ['dsp processors', 'dsp', 'point', 'floating', 'single', 'designers'], ['width', 'data', 'point', 'floating', 'single', 'designers']]"
"('xilinx', 're', 'fpga board', 'emulation', 'fpga')","[['re', 'emulation', 'xilinx', 'fpga', 'fpga board']]"
"('shift', 'zero', 'selection', 'multiplexer')","[['shift', 'selection', 'zero'], ['shift', 'selection', 'multiplexer'], ['zero', 'selection', 'multiplexer']]"
"('calculation', 'verification')","[['calculation', 'verification']]"
"('ip', 'ieee')","[['ip', 'ieee']]"
"('multiplier unit',)",[['multiplier unit']]
"('exor', 'sign calculator:')","[['exor', 'sign calculator:']]"
"('three',)",[['three']]
