"('Detailed', 'documentation', 'user documentation', 'user')","[['user', 'Detailed'], ['documentation', 'Detailed'], ['user documentation', 'user', 'Detailed'], ['documentation', 'Detailed', 'user']]"
"('xml',)",[['xml']]
"('Tel', 'CA', 'Field', 'White', 'Tower', '408')","[['Tower', 'CA', 'Field'], ['CA', 'Field'], ['408', 'Field'], ['White', 'CA', 'Field'], ['Tel', 'White', 'CA'], ['Tower', 'CA', 'White'], ['408', 'Field', 'CA']]"
"('entire', 'Frequency')","[['entire', 'Frequency']]"
"('entire system', 'MHz', 'input port')","[['MHz', 'entire system'], ['input port', 'MHz', 'entire system']]"
"('Y Supports Floating Point', 'Y Supports Floating', 'Point addition/subtraction')","[['Point addition/subtraction', 'Y Supports Floating'], ['Point addition/subtraction', 'Y Supports Floating Point']]"
"('second',)",[['second']]
"('three',)",[['three']]
"('FLOATING', 'FLOATING POINT', 'POINT')","[['FLOATING', 'POINT'], ['FLOATING POINT', 'POINT'], ['FLOATING', 'POINT', 'FLOATING POINT']]"
"('102', 'Technologies', '2900', '95051', 'US')","[['95051', 'Technologies'], ['US', 'Technologies'], ['102', 'Technologies'], ['2900', '95051', 'Technologies'], ['102', 'Technologies', '95051'], ['102', 'Technologies', 'US'], ['95051', 'Technologies', 'US']]"
"('complicated', 'Generally', 'part', 'steps', 'namely')","[['steps', 'complicated', 'part'], ['complicated', 'part'], ['namely', 'Generally', 'part'], ['Generally', 'part'], ['Generally', 'part', 'complicated']]"
"('Compatible', 'Flexible', 'Optimized', 'families', 'integrable')","[['Compatible', 'families', 'Flexible'], ['families', 'Flexible'], ['Optimized', 'Flexible'], ['integrable', 'families', 'Flexible'], ['Compatible', 'families', 'integrable'], ['Optimized', 'Flexible', 'families']]"
"('Definition', 'Signal Definition Table', 'Signal Definition', 'Table')","[['Definition', 'Signal Definition'], ['Table', 'Signal Definition'], ['Signal Definition Table', 'Signal Definition'], ['Definition', 'Signal Definition', 'Signal Definition Table'], ['Definition', 'Signal Definition', 'Table'], ['Signal Definition Table', 'Signal Definition', 'Table']]"
"('331', 'system')","[['331', 'system']]"
"('Ave', 'Pvt')","[['Pvt', 'Ave']]"
"('Description', 'CLK')","[['CLK', 'Description']]"
"('Implementation', 'Blocks', 'Figure2')","[['Blocks', 'Implementation'], ['Figure2', 'Implementation'], ['Blocks', 'Implementation', 'Figure2']]"
"('larger', 'smaller')","[['smaller', 'larger']]"
"('rapid', 'Format', 'thoroughly', 'DSP Processors', 'dynamic', 'prototyping', 'applications', 'range', 'investigated')","[['rapid', 'Format'], ['investigated', 'Format'], ['prototyping', 'Format'], ['range', 'thoroughly', 'Format'], ['thoroughly', 'Format'], ['dynamic', 'applications', 'Format'], ['applications', 'Format'], ['DSP Processors', 'applications', 'Format'], ['applications', 'Format', 'investigated'], ['applications', 'Format', 'prototyping'], ['applications', 'Format', 'rapid'], ['applications', 'Format', 'thoroughly'], ['investigated', 'Format', 'prototyping'], ['investigated', 'Format', 'rapid'], ['investigated', 'Format', 'thoroughly'], ['prototyping', 'Format', 'rapid'], ['prototyping', 'Format', 'thoroughly'], ['rapid', 'Format', 'thoroughly'], ['DSP Processors', 'applications', 'dynamic']]"
"('first',)",[['first']]
"('bit', 'sign bit,', 'form', 'significant')","[['bit', 'significant', 'sign bit,'], ['significant', 'sign bit,'], ['form', 'significant', 'sign bit,'], ['bit', 'significant', 'form']]"
"('without',)",[['without']]
"('Direction', 'InA')","[['Direction', 'InA']]"
"('source code', 'RTL source code', 'RTL source', 'Behavioral model', 'source', 'generated', 'code', 'model')","[['code', 'RTL source'], ['source', 'RTL source code', 'source code'], ['RTL source code', 'Behavioral model', 'code'], ['RTL source code', 'source code', 'code'], ['generated', 'code', 'RTL source'], ['model', 'source', 'RTL source code'], ['Behavioral model', 'code', 'RTL source'], ['source code', 'code', 'RTL source'], ['Behavioral model', 'code', 'generated'], ['Behavioral model', 'code', 'source code'], ['generated', 'code', 'source code']]"
"('barun',)",[['barun']]
"('perform', 'designers', 'helps')","[['helps', 'perform'], ['designers', 'perform'], ['designers', 'perform', 'helps']]"
"('8.15', '5.2', 'Version', 'Ghostscript')","[['8.15', '5.2'], ['Ghostscript', 'Version', '5.2'], ['Version', '5.2'], ['8.15', '5.2', 'Version']]"
"('Width', 'Data', 'Data Width', 'InB')","[['Width', 'Data Width'], ['InB', 'Data Width'], ['Data', 'Width', 'Data Width'], ['InB', 'Data Width', 'Width']]"
"('normalization part', 'adder/', 'point adder/', 'addition/subtraction operation', 'adder/ subtracter')","[['adder/', 'normalization part'], ['addition/subtraction operation', 'adder/', 'normalization part'], ['adder/ subtracter', 'adder/', 'normalization part'], ['point adder/', 'adder/', 'normalization part'], ['adder/ subtracter', 'adder/', 'addition/subtraction operation'], ['adder/ subtracter', 'adder/', 'point adder/'], ['addition/subtraction operation', 'adder/', 'point adder/']]"
"('addition stage', 'normalization stage', 'alignment stage', 'stage')","[['stage', 'addition stage'], ['alignment stage', 'stage', 'addition stage'], ['normalization stage', 'stage', 'addition stage'], ['alignment stage', 'stage', 'normalization stage']]"
"('DSP',)",[['DSP']]
"('avoid', 'stages', 'later')","[['avoid', 'later'], ['stages', 'avoid', 'later']]"
"('used', 'bits')","[['bits', 'used']]"
"('X1', 'fraction')","[['fraction', 'X1']]"
"('subtraction', 'point')","[['point', 'subtraction']]"
"('Available', 'wide', 'clock', 'Fully', 'Synchronous', 'design', 'Supports')","[['Supports', 'design', 'Available'], ['design', 'Available'], ['Fully', 'clock', 'wide'], ['clock', 'wide', 'design'], ['wide', 'design', 'Available'], ['Synchronous', 'Supports', 'design'], ['Supports', 'design', 'wide']]"
"('positive', 'Deliverables')","[['Deliverables', 'positive']]"
"('X m',)",[['X m']]
"('binary',)",[['binary']]
"('single', 'standard')","[['standard', 'single']]"
"('Introduction',)",[['Introduction']]
"('field', 'comparison', 'easier', 'exponents', 'Verification')","[['easier', 'Verification'], ['comparison', 'Verification'], ['exponents', 'easier', 'Verification'], ['field', 'easier', 'Verification'], ['exponents', 'easier', 'field'], ['comparison', 'Verification', 'easier']]"
"('inputs', 'adjusted', 'subtracted', '754', 'mantissa', 'match')","[['match', '754', 'mantissa'], ['754', 'mantissa'], ['adjusted', 'mantissa'], ['inputs', 'subtracted', 'adjusted'], ['subtracted', 'adjusted', 'mantissa'], ['754', 'mantissa', 'adjusted']]"
"('test', 'vectors')","[['test', 'vectors']]"
"('represented',)",[['represented']]
"('Virtex5', 'XC5VLX30FF324')","[['Virtex5', 'XC5VLX30FF324']]"
"('Email',)",[['Email']]
"('exponent', 'general')","[['exponent', 'general']]"
"('stored',)",[['stored']]
