"('processors', 'present')","[['present', 'processors']]"
"('xml',)",[['xml']]
"('560', 'Technologies', '7731745', '918041157070', 'US')","[['7731745', 'Technologies'], ['US', 'Technologies'], ['560', 'Technologies'], ['918041157070', 'Technologies'], ['560', 'Technologies', '7731745'], ['560', 'Technologies', '918041157070'], ['560', 'Technologies', 'US'], ['7731745', 'Technologies', '918041157070'], ['7731745', 'Technologies', 'US'], ['918041157070', 'Technologies', 'US']]"
"('rst', 'First Input')","[['rst', 'First Input']]"
"('control', 'units')","[['control', 'units']]"
"('Detailed', 'documentation', 'user', 'user documentation')","[['documentation', 'Detailed'], ['user', 'Detailed'], ['user documentation', 'user', 'Detailed'], ['documentation', 'Detailed', 'user']]"
"('clock', 'Synchronous', 'Compatible', 'Optimized', 'design', 'integrable', 'Interface', 'Flexible')","[['Compatible', 'Interface', 'integrable'], ['Interface', 'integrable'], ['design', 'Synchronous', 'Flexible'], ['Synchronous', 'Flexible', 'Interface'], ['clock', 'Interface', 'integrable'], ['Optimized', 'Flexible', 'Interface'], ['Flexible', 'Interface', 'integrable'], ['Compatible', 'Interface', 'Flexible'], ['Compatible', 'Interface', 'clock'], ['Flexible', 'Interface', 'clock'], ['Optimized', 'Flexible', 'Synchronous']]"
"('obtained', 'clock cycle')","[['obtained', 'clock cycle']]"
"('block', 'normalization')","[['block', 'normalization']]"
"('Output', 'bias', 'Exponent', 'Exponent Calculator:')","[['Exponent', 'Output'], ['bias', 'Exponent', 'Output'], ['Exponent Calculator:', 'Exponent', 'Output'], ['Exponent Calculator:', 'Exponent', 'bias']]"
"('one', 'next')","[['one', 'next']]"
"('normalization unit', 'calculator')","[['calculator', 'normalization unit']]"
"('compared', 'added', 'Results')","[['added', 'Results'], ['compared', 'Results'], ['added', 'Results', 'compared']]"
"('Symbol', 'underflow', 'overflow', '754')","[['underflow', '754', 'overflow'], ['754', 'overflow'], ['Symbol', 'overflow'], ['754', 'overflow', 'Symbol']]"
"('Active', '32', 'low')","[['32', 'Active'], ['low', '32', 'Active']]"
"('Functional', 'Functional Description:')","[['Functional', 'Functional Description:']]"
"('India',)",[['India']]
"('Y Pipelined', 'Y Pipelined Y', 'Y Pipelined Y Compliance')","[['Y Pipelined', 'Y Pipelined Y'], ['Y Pipelined', 'Y Pipelined Y Compliance']]"
"('two',)",[['two']]
"('found', 'second', 'operates')","[['found', 'operates'], ['second', 'operates'], ['found', 'operates', 'second']]"
"('Overflow', 'families')","[['Overflow', 'families']]"
