"('performed',)",[['performed']]
"('exception flag',)",[['exception flag']]
"('underflow ud', 'mux')","[['underflow ud', 'mux']]"
"('wide', 'convert', 'family', 'clock', '32', 'clock signal', 'processing', 'implementations', 'promoted', 'generated', 'put', 'ordinary', 'whole')","[['wide', 'generated', 'convert'], ['wide', 'generated', 'family'], ['wide', 'generated', 'put', '32'], ['wide', 'generated', 'clock', 'clock signal'], ['wide', 'generated', 'processing'], ['wide', 'generated', 'implementations'], ['wide', 'generated', 'promoted'], ['wide', 'generated', 'ordinary'], ['wide', 'generated', 'whole'], ['convert', 'generated', 'family'], ['convert', 'generated', 'put', '32'], ['convert', 'generated', 'clock', 'clock signal'], ['convert', 'generated', 'processing'], ['convert', 'generated', 'implementations'], ['convert', 'generated', 'promoted'], ['convert', 'generated', 'ordinary'], ['convert', 'generated', 'whole'], ['family', 'generated', 'put', '32'], ['family', 'generated', 'clock', 'clock signal'], ['family', 'generated', 'processing'], ['family', 'generated', 'implementations'], ['family', 'generated', 'promoted'], ['family', 'generated', 'ordinary'], ['family', 'generated', 'whole'], ['32', 'put', 'generated', 'clock', 'clock signal'], ['32', 'put', 'generated', 'processing'], ['32', 'put', 'generated', 'implementations'], ['32', 'put', 'generated', 'promoted'], ['32', 'put', 'generated', 'ordinary'], ['32', 'put', 'generated', 'whole'], ['clock signal', 'clock', 'generated', 'processing'], ['clock signal', 'clock', 'generated', 'implementations'], ['clock signal', 'clock', 'generated', 'promoted'], ['clock signal', 'clock', 'generated', 'ordinary'], ['clock signal', 'clock', 'generated', 'whole'], ['processing', 'generated', 'implementations'], ['processing', 'generated', 'promoted'], ['processing', 'generated', 'ordinary'], ['processing', 'generated', 'whole'], ['implementations', 'generated', 'promoted'], ['implementations', 'generated', 'ordinary'], ['implementations', 'generated', 'whole'], ['promoted', 'generated', 'ordinary'], ['promoted', 'generated', 'whole'], ['ordinary', 'generated', 'whole']]"
"('comparison', 'op_div op_div')","[['comparison', 'op_div op_div']]"
"('compatible', 'directly')","[['compatible', 'directly']]"
"('fashion', 'pipeline fashion', 'unique nan,', 'support floatto-integer', 'value signz', 'whole family', 'caveat', 'linear pipeline')","[['fashion', 'caveat', 'pipeline fashion'], ['fashion', 'caveat', 'unique nan,'], ['fashion', 'caveat', 'support floatto-integer'], ['fashion', 'caveat', 'value signz'], ['fashion', 'caveat', 'whole family'], ['fashion', 'caveat', 'linear pipeline'], ['pipeline fashion', 'caveat', 'unique nan,'], ['pipeline fashion', 'caveat', 'support floatto-integer'], ['pipeline fashion', 'caveat', 'value signz'], ['pipeline fashion', 'caveat', 'whole family'], ['pipeline fashion', 'caveat', 'linear pipeline'], ['unique nan,', 'caveat', 'support floatto-integer'], ['unique nan,', 'caveat', 'value signz'], ['unique nan,', 'caveat', 'whole family'], ['unique nan,', 'caveat', 'linear pipeline'], ['support floatto-integer', 'caveat', 'value signz'], ['support floatto-integer', 'caveat', 'whole family'], ['support floatto-integer', 'caveat', 'linear pipeline'], ['value signz', 'caveat', 'whole family'], ['value signz', 'caveat', 'linear pipeline'], ['whole family', 'caveat', 'linear pipeline']]"
"('inexact exception', 'adder')","[['inexact exception', 'adder']]"
"('invalid exception',)",[['invalid exception']]
"('component', '4-6-2', 'complex', 'uses', 'listed', 'binomial', 'largest', 'divider')","[['component', 'uses', '4-6-2'], ['component', 'uses', 'listed'], ['component', 'uses', 'complex', 'binomial', 'largest'], ['component', 'uses', 'complex', 'binomial', 'divider'], ['4-6-2', 'uses', 'listed'], ['4-6-2', 'uses', 'complex', 'binomial', 'largest'], ['4-6-2', 'uses', 'complex', 'binomial', 'divider'], ['listed', 'uses', 'complex', 'binomial', 'largest'], ['listed', 'uses', 'complex', 'binomial', 'divider'], ['largest', 'binomial', 'divider']]"
"('10',)",[['10']]
