"('processors', 'present')","[['processors', 'present']]"
"('xml',)",[['xml']]
"('560', 'Technologies', '7731745', '918041157070', 'US')","[['560', 'Technologies', '7731745'], ['560', 'Technologies', '918041157070'], ['560', 'Technologies', 'US'], ['7731745', 'Technologies', '918041157070'], ['7731745', 'Technologies', 'US'], ['918041157070', 'Technologies', 'US']]"
"('rst', 'First Input')","[['rst', 'First Input']]"
"('control', 'units')","[['control', 'units']]"
"('Detailed', 'documentation', 'user', 'user documentation')","[['documentation', 'Detailed', 'user', 'user documentation']]"
"('clock', 'Synchronous', 'Compatible', 'Optimized', 'design', 'integrable', 'Interface', 'Flexible')","[['clock', 'Interface', 'Compatible'], ['clock', 'Interface', 'Flexible', 'Optimized'], ['clock', 'Interface', 'Flexible', 'Synchronous', 'design'], ['clock', 'Interface', 'integrable'], ['Compatible', 'Interface', 'Flexible', 'Optimized'], ['Compatible', 'Interface', 'Flexible', 'Synchronous', 'design'], ['Compatible', 'Interface', 'integrable'], ['Optimized', 'Flexible', 'Synchronous', 'design'], ['Optimized', 'Flexible', 'Interface', 'integrable'], ['design', 'Synchronous', 'Flexible', 'Interface', 'integrable']]"
"('obtained', 'clock cycle')","[['obtained', 'clock cycle']]"
"('block', 'normalization')","[['block', 'normalization']]"
"('Output', 'bias', 'Exponent', 'Exponent Calculator:')","[['Output', 'Exponent', 'bias'], ['Output', 'Exponent', 'Exponent Calculator:'], ['bias', 'Exponent', 'Exponent Calculator:']]"
"('one', 'next')","[['one', 'next']]"
"('normalization unit', 'calculator')","[['normalization unit', 'calculator']]"
"('compared', 'added', 'Results')","[['compared', 'Results', 'added']]"
"('Symbol', 'underflow', 'overflow', '754')","[['Symbol', 'overflow', '754', 'underflow']]"
"('Active', '32', 'low')","[['Active', '32', 'low']]"
"('Functional', 'Functional Description:')","[['Functional', 'Functional Description:']]"
"('India',)",[['India']]
"('Y Pipelined', 'Y Pipelined Y', 'Y Pipelined Y Compliance')","[['Y Pipelined Y', 'Y Pipelined', 'Y Pipelined Y Compliance']]"
"('two',)",[['two']]
"('found', 'second', 'operates')","[['found', 'operates', 'second']]"
"('Overflow', 'families')","[['Overflow', 'families']]"
"('Performance', 'IEEE', 'Figure', 'Schematic')","[['IEEE', 'Performance', 'Schematic', 'Figure']]"
